,tour_descript,city,dates,theatre,city_opening_date,city_closing_date,geo_code,full_code,metro_area_name,year,title,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour_opening,year_nyc_opening,opening_date_nyc,closing_date_nyc,production_type_nyc,show_type_nyc,n_performances_nyc
131,the book of mormon (tour: jumamosi),"New Orleans, LA","Feb 05, 2019 - Feb 10, 2019",Saenger Theatre (LA),2019-02-05 00:00:00,2019-02-10 00:00:00,622,US-LA-622,New Orleans LA,2015,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
132,the book of mormon (tour: jumamosi),"New Orleans, LA","Mar 08, 2016 - Mar 13, 2016",Saenger Theatre (LA),2016-03-08 00:00:00,2016-03-13 00:00:00,622,US-LA-622,New Orleans LA,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
133,the book of mormon (tour: jumamosi),"San Francisco, CA","Feb 06, 2018 - Mar 04, 2018",Orpheum Theatre - San Francisco,2018-02-06 00:00:00,2018-03-04 00:00:00,807,US-CA-807,San Francisco-Oakland-San Jose CA,2016,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
134,the book of mormon (tour: jumamosi),"San Francisco, CA","Nov 26, 2013 - Jan 19, 2014",Orpheum Theatre - San Francisco,2013-11-26 00:00:00,2014-01-19 00:00:00,807,US-CA-807,San Francisco-Oakland-San Jose CA,2016,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
135,the book of mormon (tour: jumamosi),"Albuquerque, NM","Feb 04, 2020 - Feb 09, 2020",Popejoy Hall,2020-02-04 00:00:00,2020-02-09 00:00:00,790,US-NM-790,Albuquerque-Santa Fe NM,2017,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
136,the book of mormon (tour: jumamosi),"Albuquerque, NM","Apr 10, 2018 - Apr 15, 2018",Popejoy Hall,2018-04-10 00:00:00,2018-04-15 00:00:00,790,US-NM-790,Albuquerque-Santa Fe NM,2017,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
137,the book of mormon (tour: jumamosi),"San Diego, CA","Jul 25, 2017 - Jul 30, 2017",San Diego Civic Theatre,2017-07-25 00:00:00,2017-07-30 00:00:00,825,US-CA-825,San Diego CA,2018,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
138,the book of mormon (tour: jumamosi),"Portland, OR","Jan 23, 2018 - Jan 28, 2018",Keller Auditorium,2018-01-23 00:00:00,2018-01-28 00:00:00,820,US-OR-820,Portland OR,2008,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
139,the book of mormon (tour: jumamosi),"Portland, OR","Jul 08, 2014 - Jul 20, 2014",Keller Auditorium,2014-07-08 00:00:00,2014-07-20 00:00:00,820,US-OR-820,Portland OR,2007,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
140,the book of mormon (tour: jumamosi),"Minneapolis, MN","Nov 06, 2018 - Nov 18, 2018",Orpheum Theatre - Minneapolis,2018-11-06 00:00:00,2018-11-18 00:00:00,613,US-MN-613,Minneapolis-St. Paul MN,2016,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
141,the book of mormon (tour: jumamosi),"Minneapolis, MN","May 10, 2016 - May 29, 2016",Orpheum Theatre - Minneapolis,2016-05-10 00:00:00,2016-05-29 00:00:00,613,US-MN-613,Minneapolis-St. Paul MN,2017,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
142,the book of mormon (tour: jumamosi),"Minneapolis, MN","Aug 20, 2014 - Sep 14, 2014",Orpheum Theatre - Minneapolis,2014-08-20 00:00:00,2014-09-14 00:00:00,613,US-MN-613,Minneapolis-St. Paul MN,2016,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
143,the book of mormon (tour: jumamosi),"Dayton, OH","Aug 28, 2019 - Sep 01, 2019",Schuster Performing Arts Center: Mead Theatre,2019-08-28 00:00:00,2019-09-01 00:00:00,542,US-OH-542,Dayton OH,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
144,the book of mormon (tour: jumamosi),"Madison, WI","May 09, 2017 - May 14, 2017",Overture Center,2017-05-09 00:00:00,2017-05-14 00:00:00,669,US-WI-669,Madison WI,2019,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
145,the book of mormon (tour: jumamosi),"Richmond, VA","Mar 26, 2019 - Mar 31, 2019",Altria Theater,2019-03-26 00:00:00,2019-03-31 00:00:00,556,US-VA-556,Richmond-Petersburg VA,2004,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
146,the book of mormon (tour: jumamosi),"Richmond, VA","Feb 07, 2017 - Feb 12, 2017",Altria Theater,2017-02-07 00:00:00,2017-02-12 00:00:00,556,US-VA-556,Richmond-Petersburg VA,2007,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
147,the book of mormon (tour: jumamosi),"Richmond, VA","Nov 04, 2014 - Nov 09, 2014",Altria Theater,2014-11-04 00:00:00,2014-11-09 00:00:00,556,US-VA-556,Richmond-Petersburg VA,2005,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
148,the book of mormon (tour: jumamosi),"Schenectady, NY","May 14, 2019 - May 19, 2019",Proctors,2019-05-14 00:00:00,2019-05-19 00:00:00,523,US-NY-523,Albany-Schenactady-Troy NY,2006,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
149,the book of mormon (tour: jumamosi),"Schenectady, NY","Oct 20, 2015 - Oct 25, 2015",Proctors,2015-10-20 00:00:00,2015-10-25 00:00:00,523,US-NY-523,Albany-Schenactady-Troy NY,2005,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
150,the book of mormon (tour: jumamosi),"Durham, NC","Aug 07, 2018 - Aug 12, 2018",Durham Performing Arts Center,2018-08-07 00:00:00,2018-08-12 00:00:00,560,US-NC-560,Raleigh-Durham (Fayetteville) NC,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
151,the book of mormon (tour: jumamosi),"Durham, NC","Dec 29, 2015 - Jan 10, 2016",Durham Performing Arts Center,2015-12-29 00:00:00,2016-01-10 00:00:00,560,US-NC-560,Raleigh-Durham (Fayetteville) NC,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
152,the book of mormon (tour: jumamosi),"Tampa, FL","Dec 05, 2017 - Dec 10, 2017","David A. Straz, Jr. Center for the Performing Arts",2017-12-05 00:00:00,2017-12-10 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
153,the book of mormon (tour: jumamosi),"Tampa, FL","Jan 20, 2015 - Feb 01, 2015","David A. Straz, Jr. Center for the Performing Arts",2015-01-20 00:00:00,2015-02-01 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
154,the book of mormon (tour: jumamosi),"Chicago, IL","Nov 20, 2018 - Dec 02, 2018",James M. Nederlander Theatre,2018-11-20 00:00:00,2018-12-02 00:00:00,602,US-IL-602,Chicago IL,2007,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
155,the book of mormon (tour: jumamosi),"Chicago, IL","Jun 29, 2016 - Aug 14, 2016",CIBC Theatre,2016-06-29 00:00:00,2016-08-14 00:00:00,602,US-IL-602,Chicago IL,2006,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
156,the book of mormon (tour: jumamosi),"Chicago, IL","Feb 24, 2015 - May 17, 2015",CIBC Theatre,2015-02-24 00:00:00,2015-05-17 00:00:00,602,US-IL-602,Chicago IL,2004,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
157,the book of mormon (tour: jumamosi),"Denver, CO","Jun 13, 2018 - Jul 07, 2018",Ellie Caulkins Opera House,2018-06-13 00:00:00,2018-07-07 00:00:00,751,US-CO-751,Denver CO,2011,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
158,the book of mormon (tour: jumamosi),"Denver, CO","Oct 22, 2013 - Nov 24, 2013",Buell Theatre,2013-10-22 00:00:00,2013-11-24 00:00:00,751,US-CO-751,Denver CO,2009,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
159,the book of mormon (tour: jumamosi),"Costa Mesa, CA","Mar 20, 2018 - Apr 01, 2018",Segerstrom Center for the Arts,2018-03-20 00:00:00,2018-04-01 00:00:00,803,US-CA-803,Los Angeles CA,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
160,the book of mormon (tour: jumamosi),"Costa Mesa, CA","May 13, 2014 - May 25, 2014",Segerstrom Center for the Arts,2014-05-13 00:00:00,2014-05-25 00:00:00,803,US-CA-803,Los Angeles CA,2011,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
161,the book of mormon (tour: jumamosi),"San Jose, CA","Jul 16, 2019 - Jul 21, 2019",San Jose Center For The Performing Arts,2019-07-16 00:00:00,2019-07-21 00:00:00,807,US-CA-807,San Francisco-Oakland-San Jose CA,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
162,the book of mormon (tour: jumamosi),"San Jose, CA","Jul 11, 2017 - Jul 23, 2017",San Jose Center For The Performing Arts,2017-07-11 00:00:00,2017-07-23 00:00:00,807,US-CA-807,San Francisco-Oakland-San Jose CA,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
163,the book of mormon (tour: jumamosi),"Calgary, AB","Sep 11, 2018 - Sep 16, 2018",Southern Alberta Jubilee Auditorium,2018-09-11 00:00:00,2018-09-16 00:00:00,AB,CA-AB,Calgary,2013,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
164,the book of mormon (tour: jumamosi),"Calgary, AB","Sep 06, 2016 - Sep 11, 2016",Southern Alberta Jubilee Auditorium,2016-09-06 00:00:00,2016-09-11 00:00:00,AB,CA-AB,Calgary,2011,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
165,the book of mormon (tour: jumamosi),"Edmonton, AB","Sep 18, 2018 - Sep 23, 2018",Northern Alberta Jubilee Auditorium,2018-09-18 00:00:00,2018-09-23 00:00:00,AB,CA-AB,Calgary,2005,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
166,the book of mormon (tour: jumamosi),"Edmonton, AB","Sep 13, 2016 - Sep 18, 2016",Northern Alberta Jubilee Auditorium,2016-09-13 00:00:00,2016-09-18 00:00:00,AB,CA-AB,Calgary,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
167,the book of mormon (tour: jumamosi),"Vancouver, BC","Sep 25, 2018 - Sep 30, 2018",Queen Elizabeth Theatre,2018-09-25 00:00:00,2018-09-30 00:00:00,BC,CA-BC,British Columbia,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
168,the book of mormon (tour: jumamosi),"Philadelphia, PA","May 28, 2019 - Jun 09, 2019",Academy Of Music: Kimmel Center,2019-05-28 00:00:00,2019-06-09 00:00:00,504,US-PA-504,Philadelphia PA,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
169,the book of mormon (tour: jumamosi),"Philadelphia, PA","Nov 24, 2015 - Dec 27, 2015",Forrest Theatre,2015-11-24 00:00:00,2015-12-27 00:00:00,504,US-PA-504,Philadelphia PA,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
170,the book of mormon (tour: jumamosi),"Des Moines, IA","May 03, 2016 - May 08, 2016",Des Moines Civic Center,2016-05-03 00:00:00,2016-05-08 00:00:00,679,US-IA-679,Des Moines-Ames IA,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
171,the book of mormon (tour: jumamosi),"Cincinnati, OH","Jul 31, 2018 - Aug 05, 2018",Aronoff Center For The Arts: Procter &amp; Gamble Hall,2018-07-31 00:00:00,2018-08-05 00:00:00,515,US-OH-515,Cincinatti OH,2004,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
172,the book of mormon (tour: jumamosi),"Cincinnati, OH","Mar 29, 2016 - Apr 03, 2016",Aronoff Center For The Arts: Procter &amp; Gamble Hall,2016-03-29 00:00:00,2016-04-03 00:00:00,515,US-OH-515,Cincinatti OH,2005,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
173,the book of mormon (tour: jumamosi),"Louisville, KY","Feb 26, 2019 - Mar 03, 2019",Kentucky Center For The Performing Arts,2019-02-26 00:00:00,2019-03-03 00:00:00,529,US-KY-529,Louisville KY,2019,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
174,the book of mormon (tour: jumamosi),"Louisville, KY","Nov 29, 2016 - Dec 04, 2016",Kentucky Center For The Performing Arts,2016-11-29 00:00:00,2016-12-04 00:00:00,529,US-KY-529,Louisville KY,2019,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
175,the book of mormon (tour: jumamosi),"Memphis, TN","Nov 05, 2019 - Nov 10, 2019",Orpheum Theatre - Memphis,2019-11-05 00:00:00,2019-11-10 00:00:00,640,US-TN-640,Memphis TN,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
176,the book of mormon (tour: jumamosi),"Memphis, TN","Mar 15, 2016 - Mar 20, 2016",Orpheum Theatre - Memphis,2016-03-15 00:00:00,2016-03-20 00:00:00,640,US-TN-640,Memphis TN,2017,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
177,the book of mormon (tour: jumamosi),"Fort Lauderdale, FL","Jan 26, 2016 - Feb 07, 2016",Broward Center For The Performing Arts,2016-01-26 00:00:00,2016-02-07 00:00:00,528,US-FL-528,Miami-Ft. Lauderdale FL,2015,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
178,the book of mormon (tour: jumamosi),"San Antonio, TX","May 01, 2018 - May 06, 2018",Majestic Theatre - San Antonio,2018-05-01 00:00:00,2018-05-06 00:00:00,641,US-TX-641,San Antonio TX,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
179,the book of mormon (tour: jumamosi),"Milwaukee, WI","Jan 01, 2019 - Jan 06, 2019",Uihlein Hall at Marcus Performing Arts Center,2019-01-01 00:00:00,2019-01-06 00:00:00,617,US-WI-617,Milwaukee WI,2018,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
180,the book of mormon (tour: jumamosi),"Milwaukee, WI","May 19, 2015 - May 31, 2015",Uihlein Hall at Marcus Performing Arts Center,2015-05-19 00:00:00,2015-05-31 00:00:00,617,US-WI-617,Milwaukee WI,2012,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
181,the book of mormon (tour: jumamosi),"Columbus, OH","May 22, 2018 - May 27, 2018",Ohio Theatre,2018-05-22 00:00:00,2018-05-27 00:00:00,535,US-OH-535,Columbus OH,2019,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
182,the book of mormon (tour: jumamosi),"Columbus, OH","Apr 19, 2016 - Apr 24, 2016",Ohio Theatre,2016-04-19 00:00:00,2016-04-24 00:00:00,535,US-OH-535,Columbus OH,2011,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
183,the book of mormon (tour: jumamosi),"Boston, MA","Aug 14, 2018 - Aug 26, 2018",Opera House (MA),2018-08-14 00:00:00,2018-08-26 00:00:00,506,US-MA-506,Boston MA-Manchester NH,2008,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
