,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
1528,movin' out (tour),US-NC-560,12,19,12,100,NC
1529,avenue q (tour),US-DC-511,30,21,11,100,DC
1530,avenue q (tour),US-IL-609,13,11,13,84,IL
1531,movin' out (tour),US-FL-528,19,9,6,100,FL
1532,avenue q (tour),US-CA-807,5,6,4,100,CA
1533,wicked (tour: emerald city),US-MA-506,13,8,8,9,MA
1534,wicked (tour: emerald city),US-PA-508,3,5,7,100,PA
1535,wicked (tour: emerald city),US-FL-539,13,6,8,19,FL
1537,bombay dreams (tour),US-CO-751,14,3,4,94,CO
1538,movin' out (tour),US-TX-635,39,6,8,100,TX
1540,wicked (tour: emerald city),US-CO-751,9,4,6,100,CO
1541,wicked (tour: emerald city),CA-ON,14,19,12,100,ON
1544,avenue q (tour),US-OH-535,14,9,8,100,OH
1546,bombay dreams (tour),US-IL-609,3,6,3,100,IL
1548,movin' out (tour),US-NV-770,61,19,8,86,NV
1550,avenue q (tour),US-PA-504,19,18,16,87,PA
1551,wicked (tour: emerald city),US-TX-618,9,10,8,100,TX
1555,movin' out (tour),US-CA-803,7,13,9,4,CA
1556,bombay dreams (tour),US-FL-539,12,8,9,67,FL
1557,movin' out (tour),US-MI-505,45,19,7,61,MI
1558,movin' out (tour),US-CO-751,6,9,7,100,CO
1560,wicked (tour: emerald city),US-TX-623,12,20,16,27,TX
1561,movin' out (tour),US-PA-504,19,8,12,98,PA
1562,avenue q (tour),US-MA-506,18,12,24,34,MA
1568,avenue q (tour),US-IL-609,15,19,16,28,IL
1572,wicked (tour: emerald city),US-MA-521,53,12,17,31,MA
1573,wicked (tour: emerald city),US-PA-508,63,43,22,66,PA
1574,bombay dreams (tour),US-TX-618,59,29,16,24,TX
1576,avenue q (tour),US-AZ-789,29,47,23,100,AZ
1578,avenue q (tour),US-MO-616,46,38,12,34,MO
1583,avenue q (tour),US-IA-679,68,23,20,36,IA
1584,avenue q (tour),US-NY-538,53,24,21,87,NY
1587,wicked (tour: emerald city),US-OH-510,34,33,21,93,OH
1589,wicked (tour: emerald city),US-MD-512,36,30,19,27,MD
1591,wicked (tour: emerald city),US-MI-505,34,38,22,100,MI
1592,avenue q (tour),US-MN-613,63,35,28,34,MN
1596,avenue q (tour),US-NC-560,97,28,17,17,NC
1597,avenue q (tour),US-DC-511,32,32,29,100,DC
1601,avenue q (tour),US-PA-508,59,28,19,13,PA
1602,bombay dreams (tour),US-CA-803,20,25,24,100,CA
1603,avenue q (tour),US-FL-528,80,24,32,28,FL
1605,movin' out (tour),US-OH-515,45,7,15,28,OH
1606,movin' out (tour),US-NY-538,37,30,13,100,NY
1607,bombay dreams (tour),US-GA-524,43,22,11,77,GA
1612,bombay dreams (tour),US-OH-510,50,44,24,50,OH
1615,movin' out (tour),US-TX-618,50,31,22,74,TX
1616,avenue q (tour),US-TX-618,53,17,14,30,TX
1619,movin' out (tour),US-NE-652,52,25,25,46,NE
1621,movin' out (tour),US-MA-521,91,45,22,63,MA
1622,movin' out (tour),US-CO-751,64,31,27,29,CO
1624,movin' out (tour),US-NC-560,35,30,17,18,NC
1625,wicked (tour: emerald city),US-IL-609,32,47,23,61,IL
1627,wicked (tour: emerald city),US-WA-819,39,33,20,31,WA
1628,movin' out (tour),US-TX-635,30,15,13,12,TX
1629,wicked (tour: emerald city),US-NY-538,83,20,17,92,NY
1630,movin' out (tour),US-MN-613,90,31,21,93,MN
1631,wicked (tour: emerald city),US-CA-807,28,18,18,32,CA
1633,movin' out (tour),US-PA-504,66,33,26,99,PA
1637,movin' out (tour),US-NV-770,24,21,22,12,NV
1638,movin' out (tour),US-WA-819,18,22,21,16,WA
1639,wicked (tour: emerald city),US-CT-533,21,24,24,7,CT
1641,movin' out (tour),US-DC-511,25,26,31,81,DC
1643,movin' out (tour),US-MI-505,20,22,24,86,MI
1647,avenue q (tour),US-KY-529,23,16,17,100,KY
1648,wicked (tour: emerald city),CA-ON,17,22,24,73,ON
1650,wicked (tour: emerald city),US-PA-504,35,21,23,73,PA
1651,wicked (tour: emerald city),US-GA-524,36,32,25,21,GA
1653,wicked (tour: emerald city),US-OH-515,26,21,21,14,OH
1655,movin' out (tour),US-IL-602,12,11,14,84,IL
1658,wicked (tour: emerald city),US-TX-623,21,24,27,94,TX
1659,bombay dreams (tour),US-OH-535,37,25,26,35,OH
1660,movin' out (tour),US-TX-623,6,13,15,100,TX
1663,wicked (tour: emerald city),US-OK-650,23,17,22,86,OK
1664,avenue q (tour),US-MN-613,7,13,15,73,MN
1665,wicked (tour: emerald city),US-MD-512,28,17,21,100,MD
1666,bombay dreams (tour),US-OH-535,37,27,27,60,OH
1667,movin' out (tour),US-IL-602,20,17,19,100,IL
1669,movin' out (tour),US-OR-820,13,23,24,47,OR
1671,avenue q (tour),US-GA-524,22,17,21,25,GA
1674,bombay dreams (tour),US-GA-524,40,23,22,0,GA
1675,avenue q (tour),US-FL-539,16,24,33,29,FL
1677,avenue q (tour),US-AZ-789,30,34,33,0,AZ
1678,wicked (tour: emerald city),US-PA-508,33,6,7,72,PA
1680,bombay dreams (tour),US-PA-508,40,24,14,92,PA
1684,movin' out (tour),US-TX-635,24,8,13,64,TX
1692,wicked (tour: emerald city),US-NC-517,32,20,13,100,NC
1696,movin' out (tour),US-TX-618,48,8,7,100,TX
1699,avenue q (tour),US-MI-551,77,9,2,0,MI
1705,avenue q (tour),US-MO-616,61,21,16,42,MO
1713,wicked (tour: emerald city),US-NY-514,56,13,13,72,NY
1717,avenue q (tour),US-WI-617,8,7,7,91,WI
1718,wicked (tour: emerald city),US-OH-515,8,7,9,40,OH
1719,wicked (tour: emerald city),US-MN-613,9,4,5,100,MN
1721,bombay dreams (tour),US-NC-517,4,8,8,85,NC
1728,bombay dreams (tour),CA-ON,8,8,9,87,ON
1731,wicked (tour: emerald city),US-TX-618,21,4,6,100,TX
1732,movin' out (tour),US-OH-515,20,6,6,100,OH
1733,avenue q (tour),US-FL-528,9,4,2,100,FL
1734,movin' out (tour),US-CO-751,11,2,2,100,CO
1736,wicked (tour: emerald city),US-FL-539,8,4,3,100,FL
1743,wicked (tour: emerald city),US-MA-521,12,15,9,90,MA
1745,wicked (tour: emerald city),US-IL-609,33,5,4,100,IL
1747,wicked (tour: emerald city),US-MI-505,12,14,13,100,MI
1749,avenue q (tour),US-PA-508,10,4,5,91,PA
1751,avenue q (tour),US-OH-510,7,6,5,100,OH
1766,bombay dreams (tour),US-WA-819,27,29,4,18,WA
1768,avenue q (tour),US-IL-609,79,23,5,26,IL
1795,avenue q (tour),US-WI-617,79,12,3,0,WI
1797,movin' out (tour),US-NC-560,53,48,45,68,NC
1798,avenue q (tour),US-PA-504,58,59,57,72,PA
1799,movin' out (tour),US-TX-618,64,57,52,77,TX
1800,avenue q (tour),US-NY-538,36,45,44,67,NY
1801,avenue q (tour),US-OH-510,51,48,49,53,OH
1802,avenue q (tour),US-FL-528,43,44,48,46,FL
1803,wicked (tour: emerald city),US-MI-551,43,46,45,45,MI
1804,wicked (tour: emerald city),US-TX-618,60,59,57,56,TX
1805,avenue q (tour),US-MO-616,61,52,50,59,MO
1806,avenue q (tour),US-GA-524,52,58,58,76,GA
1807,wicked (tour: emerald city),US-FL-534,44,42,42,88,FL
1808,bombay dreams (tour),US-FL-539,42,63,59,55,FL
1810,avenue q (tour),US-MI-551,66,58,54,57,MI
1811,wicked (tour: emerald city),US-OH-510,60,55,54,73,OH
1812,movin' out (tour),US-TX-635,40,53,52,71,TX
1813,movin' out (tour),US-AZ-753,65,50,52,62,AZ
1814,wicked (tour: emerald city),US-CA-807,68,69,67,88,CA
1815,movin' out (tour),US-GA-524,44,48,52,85,GA
1816,bombay dreams (tour),US-TX-623,65,63,63,53,TX
1817,avenue q (tour),US-MN-613,66,59,59,85,MN
1818,movin' out (tour),US-MA-521,54,50,51,63,MA
1819,wicked (tour: emerald city),US-MI-505,63,52,54,80,MI
1820,wicked (tour: emerald city),US-FL-528,85,68,57,68,FL
1822,wicked (tour: emerald city),US-PA-504,53,51,49,73,PA
1823,movin' out (tour),CA-ON,61,60,61,65,ON
1824,avenue q (tour),US-NC-560,23,40,42,68,NC
1825,avenue q (tour),US-IA-679,37,50,52,87,IA
1826,movin' out (tour),US-CA-825,65,60,59,46,CA
1827,avenue q (tour),US-CA-825,51,54,50,59,CA
1828,wicked (tour: emerald city),US-OH-515,54,45,46,100,OH
1829,wicked (tour: emerald city),US-CA-803,75,62,56,77,CA
1830,avenue q (tour),US-CA-807,29,37,39,58,CA
1831,movin' out (tour),US-CA-807,54,51,46,48,CA
1832,avenue q (tour),US-TX-618,53,51,49,67,TX
1833,wicked (tour: emerald city),CA-ON,47,56,51,99,ON
1834,avenue q (tour),US-MD-512,49,43,43,95,MD
1835,movin' out (tour),US-FL-528,43,52,53,98,FL
1837,movin' out (tour),US-MA-506,60,63,62,81,MA
1838,bombay dreams (tour),US-IL-609,36,57,53,87,IL
1839,avenue q (tour),US-DC-511,91,49,49,46,DC
1840,bombay dreams (tour),US-PA-508,58,45,46,42,PA
1841,wicked (tour: emerald city),US-GA-524,50,60,47,43,GA
1842,avenue q (tour),US-FL-539,71,68,61,93,FL
1843,wicked (tour: emerald city),US-CO-751,57,56,52,100,CO
1844,wicked (tour: emerald city),US-AZ-753,63,52,50,53,AZ
1845,movin' out (tour),US-TX-623,48,46,48,100,TX
1846,wicked (tour: emerald city),US-IL-602,66,55,58,100,IL
1847,movin' out (tour),US-MI-505,72,56,55,79,MI
1848,wicked (tour: emerald city),US-CT-533,62,55,58,71,CT
1849,wicked (tour: emerald city),US-IL-609,49,53,55,74,IL
1850,movin' out (tour),US-CA-803,61,58,59,78,CA
1852,movin' out (tour),US-WA-819,53,48,49,57,WA
1853,wicked (tour: emerald city),US-MO-616,46,50,50,77,MO
1854,movin' out (tour),US-IL-609,67,46,44,94,IL
1855,wicked (tour: emerald city),US-FL-539,65,4,13,81,FL
1856,wicked (tour: emerald city),US-NY-514,10,6,6,82,NY
1858,wicked (tour: emerald city),US-MA-506,21,8,9,74,MA
1877,into the woods (tour),US-FL-539,52,17,17,76,FL
1878,avenue q (tour),US-FL-539,24,15,18,54,FL
1880,wicked (tour: emerald city),US-TX-618,20,14,10,70,TX
1882,wicked (tour: munchkinland),US-IL-675,22,8,9,100,IL
1883,fiddler on the roof (tour),US-AZ-789,13,9,9,99,AZ
1884,into the woods (tour),US-IN-527,31,13,11,100,IN
1885,fiddler on the roof (tour),US-DE,31,25,22,76,DE
1886,wicked (tour: emerald city),US-NV-770,39,16,24,94,NV
1888,fiddler on the roof (tour),US-CA-807,16,17,18,100,CA
1889,wicked (tour: munchkinland),US-NC-560,6,11,12,54,NC
1891,avenue q (tour),US-NC-517,9,15,14,100,NC
1893,into the woods (tour),US-NE-722,7,14,11,61,NE
1894,fiddler on the roof (tour),US-FL-561,19,18,19,100,FL
1896,wicked (tour: emerald city),US-NM-790,21,15,10,97,NM
1897,avenue q (tour),US-AR-670,31,16,17,100,AR
1898,wicked (tour: munchkinland),US-NY-555,15,13,17,100,NY
1899,avenue q (tour),US-WI-658,23,16,16,58,WI
1901,wicked (tour: emerald city),US-DC-511,85,15,18,100,DC
1902,wicked (tour: munchkinland),US-IN-588,15,11,12,100,IN
1903,wicked (tour: emerald city),US-GA-524,17,9,9,100,GA
1904,avenue q (tour),US-TX-641,14,19,17,100,TX
1905,wicked (tour: emerald city),US-VA-556,24,13,13,100,VA
1910,avenue q (tour),US-CA-862,10,3,5,100,CA
1911,fiddler on the roof (tour),CA-ON,7,6,8,73,ON
1914,wicked (tour: munchkinland),US-NV-839,15,7,7,100,NV
1915,avenue q (tour),US-DC-511,9,18,11,63,DC
1916,fiddler on the roof (tour),US-CA-825,13,10,11,100,CA
1921,avenue q (tour),US-TN-659,53,23,23,84,TN
1922,wicked (tour: emerald city),US-FL-539,9,16,19,100,FL
1923,wicked (tour: munchkinland),US-NE-652,39,24,26,100,NE
1925,fiddler on the roof (tour),US-WA-819,6,6,5,89,WA
1927,fiddler on the roof (tour),US-MI-505,14,9,9,84,MI
1929,avenue q (tour),US-PA-566,83,11,16,100,PA
1930,wicked (tour: emerald city),US-AZ-753,38,13,12,66,AZ
1931,wicked (tour: munchkinland),US-FL-561,20,19,14,100,FL
1933,into the woods (tour),US-OH-510,23,10,12,81,OH
1938,wicked (tour: munchkinland),US-NY-538,25,12,10,73,NY
1942,wicked (tour: munchkinland),US-KS-678,41,10,13,68,KS
1944,wicked (tour: munchkinland),US-TX-765,19,7,6,86,TX
1945,into the woods (tour),US-CA-807,24,11,14,99,CA
1947,fiddler on the roof (tour),US-TX-635,15,6,8,100,TX
1949,avenue q (tour),CA-ON,10,8,13,18,ON
1950,wicked (tour: emerald city),US-PA-504,16,19,25,32,PA
1951,wicked (tour: munchkinland),US-PA-508,14,8,11,91,PA
1952,wicked (tour: san francisco),US-CA-807,9,10,15,13,CA
1953,wicked (tour: munchkinland),US-MN-613,11,12,15,21,MN
1955,fiddler on the roof (tour),US-FL-534,12,14,20,28,FL
1956,into the woods (tour),US-TX-641,10,12,13,31,TX
1957,wicked (tour: munchkinland),US-TX-618,19,13,18,29,TX
1958,wicked (tour: munchkinland),US-DC-511,16,12,16,18,DC
1959,avenue q (tour),US-VA-544,35,44,43,73,VA
1960,avenue q (tour),US-OH-515,13,13,19,36,OH
1961,wicked (tour: emerald city),US-CA-862,55,46,48,76,CA
1962,into the woods (tour),US-NJ,66,33,39,64,NJ
1963,fiddler on the roof (tour),CA-AB,14,12,18,26,AB
1964,wicked (tour: munchkinland),US-NV-770,18,8,11,18,NV
1965,wicked (tour: emerald city),US-OH-535,45,43,47,80,OH
1966,wicked (tour: munchkinland),US-SC-567,35,26,31,82,SC
1967,wicked (tour: munchkinland),US-LA-622,23,14,19,53,LA
1968,fiddler on the roof (tour),US-IL-602,19,15,22,45,IL
1969,avenue q (tour),US-CT-533,14,12,16,28,CT
1970,wicked (tour: munchkinland),US-TN-659,12,11,16,25,TN
1971,wicked (tour: emerald city),US-NV-839,17,22,26,81,NV
1972,fiddler on the roof (tour),US-CO-751,8,11,17,25,CO
1973,wicked (tour: munchkinland),US-WI-617,11,10,15,17,WI
1974,fiddler on the roof (tour),US-OH-510,44,40,46,88,OH
1975,wicked (tour: emerald city),US-NY-555,28,29,31,100,NY
1976,wicked (tour: munchkinland),US-GA-524,19,16,20,68,GA
1977,wicked (tour: emerald city),US-LA-622,12,14,17,40,LA
1978,wicked (tour: munchkinland),US-MO-619,24,41,35,60,MO
1980,wicked (tour: munchkinland),US-CA-825,37,29,32,100,CA
1981,wicked (tour: munchkinland),US-OR-820,11,13,19,31,OR
1982,avenue q (tour),US-TX-635,28,25,24,92,TX
1983,wicked (tour: emerald city),US-MN-613,11,19,27,42,MN
1984,into the woods (tour),US-TX-692,4,9,14,28,TX
1985,wicked (tour: chicago),US-IL-602,16,10,14,29,IL
1986,wicked (tour: munchkinland),US-NY-523,23,21,15,37,NY
1987,wicked (tour: emerald city),US-NY-514,46,42,42,79,NY
1988,fiddler on the roof (tour),US-GA-524,8,11,16,22,GA
1989,wicked (tour: munchkinland),US-TN-640,18,15,18,27,TN
1990,wicked (tour: munchkinland),US-MD-512,17,10,13,22,MD
1991,wicked (tour: emerald city),US-TX-641,16,15,18,32,TX
1992,wicked (tour: emerald city),US-WI-658,7,14,17,25,WI
1993,wicked (tour: munchkinland),US-AZ-789,9,11,15,21,AZ
1994,wicked (tour: emerald city),US-AZ-789,7,9,14,23,AZ
1995,avenue q (tour),US-TX-623,10,10,13,15,TX
1996,fiddler on the roof (tour),US-FL-539,16,11,18,57,FL
1997,into the woods (tour),US-FL-561,9,9,10,35,FL
1998,wicked (tour: munchkinland),CA-AB,19,23,30,48,AB
1999,wicked (tour: munchkinland),US-OH-515,25,12,12,87,OH
2000,into the woods (tour),US-NY-501,32,16,17,92,NY
2002,wicked (tour: munchkinland),US-CA-807,32,25,23,68,CA
2007,wicked (tour: munchkinland),CA-QC,39,27,24,97,QC
2010,into the woods (tour),US-KY-541,30,10,16,76,KY
2013,wicked (tour: munchkinland),US-OK-650,20,25,21,100,OK
2014,wicked (tour: emerald city),US-CT-533,35,25,24,82,CT
2019,wicked (tour: emerald city),US-KY-529,14,12,18,25,KY
2022,wicked (tour: munchkinland),US-IL-609,26,14,12,44,IL
2026,wicked (tour: munchkinland),US-OH-547,77,15,19,100,OH
2028,wicked (tour: emerald city),US-OK-671,41,20,19,100,OK
2029,wicked (tour: munchkinland),US-IN-527,87,15,25,42,IN
2041,wicked (tour: munchkinland),US-IL-602,58,41,29,100,IL
2043,wicked (tour: munchkinland),US-AR-693,44,10,9,100,AR
2047,fiddler on the roof (tour),US-PA-508,59,25,23,100,PA
2048,into the woods (tour),US-IL-609,19,16,21,86,IL
2050,wicked (tour: emerald city),US-NE-652,14,8,11,60,NE
2055,avenue q (tour),US-NY-523,20,13,14,35,NY
2056,wicked (tour: emerald city),US-IL-675,15,28,28,44,IL
2057,wicked (tour: munchkinland),US-OH-510,37,30,21,64,OH
2058,wicked (tour: munchkinland),US-FL-534,21,23,16,85,FL
2060,into the woods (tour),US-CA-803,69,26,16,55,CA
2062,wicked (tour: emerald city),US-TX-765,35,18,18,28,TX
2065,avenue q (tour),US-WA-819,49,23,22,100,WA
2067,wicked (tour: munchkinland),US-WA-819,18,24,22,100,WA
2071,wicked (tour: munchkinland),US-FL-571,23,15,17,44,FL
2074,wicked (tour: munchkinland),US-VA-556,51,45,39,28,VA
2079,wicked (tour: munchkinland),US-NM-790,47,38,24,70,NM
2085,avenue q (tour),US-MN-613,29,37,32,76,MN
2087,bombay dreams (tour),US-CO-751,52,29,24,63,CO
2089,avenue q (tour),US-MA-506,27,5,11,71,MA
2091,avenue q (tour),US-DC-511,21,9,19,55,DC
2092,wicked (tour: emerald city),US-AZ-753,40,11,14,76,AZ
2096,movin' out (tour),US-OR-820,39,13,13,28,OR
2097,bombay dreams (tour),US-PA-508,17,10,13,27,PA
2102,wicked (tour: emerald city),US-MN-613,33,8,14,100,MN
2104,avenue q (tour),US-NC-560,20,7,11,92,NC
2108,avenue q (tour),US-WI-617,62,7,14,83,WI
2111,bombay dreams (tour),US-NC-517,46,1,3,56,NC
2117,wicked (tour: emerald city),US-MD-512,36,1,8,100,MD
2122,movin' out (tour),US-MI-505,16,13,20,37,MI
2129,avenue q (tour),US-MI-551,32,8,14,91,MI
2131,bombay dreams (tour),US-IL-609,5,1,2,22,IL
2133,wicked (tour: emerald city),US-OH-535,10,1,7,15,OH
2138,avenue q (tour),US-PA-508,15,2,8,27,PA
2141,movin' out (tour),US-OH-515,64,17,12,79,OH
2147,movin' out (tour),US-MA-521,41,1,10,28,MA
2150,avenue q (tour),US-IL-609,13,1,6,24,IL
2154,avenue q (tour),US-FL-528,50,5,8,83,FL
2159,movin' out (tour),US-IL-602,64,13,3,41,IL
2187,wicked (tour: emerald city),US-MI-505,85,13,3,100,MI
2190,avenue q (tour),US-CA-807,70,6,4,33,CA
2193,wicked (tour: emerald city),US-CA-825,18,16,22,62,CA
2195,avenue q (tour),US-TX-618,25,17,22,29,TX
2198,wicked (tour: emerald city),US-OR-820,45,14,15,43,OR
2201,avenue q (tour),US-MI-551,43,10,13,67,MI
2202,bombay dreams (tour),US-FL-539,92,32,32,45,FL
2205,avenue q (tour),US-IA-679,45,45,28,55,IA
2208,bombay dreams (tour),US-OH-510,32,19,22,46,OH
2210,bombay dreams (tour),US-NC-517,50,11,11,50,NC
2230,movin' out (tour),US-CA-803,57,24,23,73,CA
2232,movin' out (tour),US-CA-807,9,25,21,100,CA
2233,avenue q (tour),US-NY-514,23,17,14,13,NY
2234,avenue q (tour),US-OH-535,8,18,19,86,OH
2235,wicked (tour: emerald city),US-FL-528,12,16,14,7,FL
2236,movin' out (tour),US-WA-819,42,52,29,39,WA
2237,avenue q (tour),US-WI-617,17,19,18,13,WI
2238,wicked (tour: emerald city),US-OH-515,19,23,23,61,OH
2239,wicked (tour: emerald city),US-TX-618,28,26,17,19,TX
2240,wicked (tour: emerald city),US-OK-650,8,17,16,42,OK
2241,wicked (tour: emerald city),US-MA-521,24,21,14,54,MA
2242,movin' out (tour),US-OH-515,15,20,17,31,OH
2243,avenue q (tour),US-PA-508,45,29,21,60,PA
2244,movin' out (tour),US-MO-616,22,19,20,36,MO
2245,movin' out (tour),US-CO-751,40,25,18,13,CO
2246,bombay dreams (tour),CA-ON,22,22,18,57,ON
2247,wicked (tour: emerald city),US-OH-535,12,17,19,18,OH
2248,avenue q (tour),US-IL-609,28,34,19,39,IL
2250,wicked (tour: emerald city),US-WA-819,19,32,12,28,WA
2251,movin' out (tour),US-MA-506,35,26,16,64,MA
2253,movin' out (tour),US-IL-609,34,39,22,39,IL
2254,wicked (tour: emerald city),US-IL-609,25,19,17,63,IL
2255,wicked (tour: emerald city),US-CT-533,40,32,26,14,CT
2256,wicked (tour: emerald city),US-IL-602,32,23,20,61,IL
2258,avenue q (tour),US-NY-538,26,36,27,38,NY
2259,wicked (tour: emerald city),US-OH-510,63,75,49,47,OH
2262,avenue q (tour),US-MA-506,11,19,12,30,MA
2263,wicked (tour: emerald city),US-PA-504,29,44,19,14,PA
2265,movin' out (tour),US-FL-528,28,43,23,11,FL
2266,wicked (tour: emerald city),US-TX-623,80,56,30,68,TX
2267,wicked (tour: emerald city),US-FL-539,28,31,19,17,FL
2268,movin' out (tour),US-TX-618,16,21,11,16,TX
2269,movin' out (tour),US-CA-825,18,24,16,56,CA
2271,movin' out (tour),US-TX-635,25,19,15,31,TX
2273,wicked (tour: emerald city),CA-ON,29,34,25,41,ON
2274,bombay dreams (tour),US-PA-508,24,40,24,52,PA
2275,movin' out (tour),CA-ON,10,30,17,8,ON
2276,bombay dreams (tour),US-WA-819,36,38,23,51,WA
2278,movin' out (tour),US-DC-511,21,24,19,73,DC
2282,wicked (tour: emerald city),US-OK-650,10,21,22,72,OK
2283,avenue q (tour),US-PA-504,21,26,17,17,PA
2284,avenue q (tour),US-PA-508,23,11,14,27,PA
2285,wicked (tour: emerald city),US-OR-820,7,15,17,68,OR
2286,wicked (tour: emerald city),US-GA-524,17,9,15,21,GA
2291,avenue q (tour),US-NY-538,42,12,11,47,NY
2295,avenue q (tour),US-OH-535,27,38,22,44,OH
2297,wicked (tour: emerald city),US-CA-807,11,18,19,14,CA
2298,movin' out (tour),US-CA-825,22,21,21,62,CA
2299,movin' out (tour),US-GA-524,12,18,14,15,GA
2300,avenue q (tour),US-OH-510,51,41,29,69,OH
2302,wicked (tour: emerald city),US-TX-618,8,19,16,48,TX
2303,bombay dreams (tour),US-OH-535,24,44,19,26,OH
2304,bombay dreams (tour),US-CA-862,19,27,16,22,CA
2305,movin' out (tour),US-MN-613,22,25,17,68,MN
2306,bombay dreams (tour),US-TX-618,17,22,17,49,TX
2307,movin' out (tour),US-CA-807,15,17,14,51,CA
2308,avenue q (tour),US-MO-616,36,20,16,24,MO
2310,wicked (tour: emerald city),US-IL-602,48,25,12,0,IL
2313,movin' out (tour),US-DC-511,12,17,16,12,DC
2314,movin' out (tour),US-CO-751,32,59,26,36,CO
2316,wicked (tour: emerald city),US-IL-609,76,26,23,63,IL
2317,avenue q (tour),US-FL-539,42,46,33,39,FL
2318,bombay dreams (tour),US-NC-517,20,16,20,19,NC
2319,avenue q (tour),US-NC-560,18,38,16,32,NC
2322,movin' out (tour),US-OR-820,32,27,16,31,OR
2325,movin' out (tour),US-MA-521,18,21,14,39,MA
2327,movin' out (tour),US-IL-609,42,21,16,38,IL
2328,wicked (tour: emerald city),US-MA-521,30,37,24,49,MA
2331,bombay dreams (tour),US-WA-819,14,19,18,60,WA
2332,avenue q (tour),US-CA-807,30,39,19,5,CA
2333,avenue q (tour),US-IL-609,17,19,20,17,IL
2334,wicked (tour: emerald city),CA-ON,17,22,15,78,ON
2336,movin' out (tour),US-TX-635,48,54,17,84,TX
2338,avenue q (tour),US-TX-618,51,73,48,43,TX
2339,wicked (tour: emerald city),US-FL-534,42,23,15,37,FL
2340,movin' out (tour),US-NE-652,25,24,15,10,NE
2341,wicked (tour: emerald city),US-TX-623,30,17,11,32,TX
2346,movin' out (tour),US-AZ-753,10,13,11,23,AZ
2347,wicked (tour: emerald city),US-MN-613,28,28,16,24,MN
2350,wicked (tour: emerald city),US-DC-511,26,26,22,31,DC
2353,wicked (tour: emerald city),US-NC-517,15,21,14,12,NC
2354,wicked (tour: emerald city),US-NY-538,24,19,10,20,NY
2363,avenue q (tour),US-MA-506,51,63,26,80,MA
2366,wicked (tour: emerald city),US-OH-515,28,15,13,39,OH
2367,wicked (tour: emerald city),US-FL-528,18,28,21,45,FL
2368,wicked (tour: emerald city),US-AZ-753,24,36,26,31,AZ
2373,avenue q (tour),US-FL-528,27,22,19,69,FL
2378,wicked (tour: emerald city),US-CA-803,23,15,20,34,CA
2379,wicked (tour: emerald city),US-MO-616,21,15,15,100,MO
2381,wicked (tour: emerald city),US-PA-504,29,14,19,75,PA
2383,movin' out (tour),US-MN-613,15,22,15,42,MN
2384,wicked (tour: emerald city),US-CA-803,45,47,25,12,CA
2385,avenue q (tour),US-CA-807,24,18,22,21,CA
2386,avenue q (tour),US-FL-528,19,22,17,24,FL
2388,movin' out (tour),US-TX-635,70,54,42,70,TX
2390,movin' out (tour),US-PA-504,14,12,9,20,PA
2391,bombay dreams (tour),US-GA-524,38,19,14,42,GA
2392,avenue q (tour),US-DC-511,22,19,15,35,DC
2394,movin' out (tour),US-MI-505,16,20,11,45,MI
2395,movin' out (tour),US-NY-538,32,19,25,79,NY
2396,avenue q (tour),US-CA-825,27,16,13,78,CA
2397,bombay dreams (tour),US-OH-510,26,14,14,100,OH
2398,bombay dreams (tour),CA-ON,27,12,10,33,ON
2400,bombay dreams (tour),US-OH-535,39,17,11,47,OH
2401,movin' out (tour),US-IL-602,59,21,14,45,IL
2402,wicked (tour: emerald city),US-OK-650,47,17,7,42,OK
2403,wicked (tour: emerald city),US-MA-506,33,8,9,73,MA
2405,movin' out (tour),US-MO-616,27,24,15,42,MO
2408,wicked (tour: emerald city),US-MA-521,29,18,13,61,MA
2409,wicked (tour: emerald city),US-MO-616,37,4,8,38,MO
2410,wicked (tour: emerald city),US-AZ-753,13,19,14,88,AZ
2411,wicked (tour: emerald city),US-CT-533,71,20,13,62,CT
2412,wicked (tour: emerald city),US-IL-602,17,14,9,38,IL
2413,bombay dreams (tour),US-CO-751,16,12,10,38,CO
2414,movin' out (tour),US-CO-751,75,24,12,35,CO
2415,wicked (tour: emerald city),US-MN-613,27,34,26,47,MN
2416,avenue q (tour),US-CA-803,59,32,26,61,CA
2417,bombay dreams (tour),US-TX-623,26,21,13,31,TX
2418,wicked (tour: emerald city),US-PA-508,50,16,18,83,PA
2420,movin' out (tour),US-NC-560,37,11,15,100,NC
2421,wicked (tour: emerald city),US-MD-512,40,17,15,70,MD
2422,wicked (tour: emerald city),US-NY-514,28,13,13,82,NY
2423,wicked (tour: emerald city),US-OR-820,42,13,7,32,OR
2424,avenue q (tour),US-WI-617,43,8,8,100,WI
2427,avenue q (tour),US-AZ-789,18,37,13,82,AZ
2428,wicked (tour: emerald city),US-FL-539,24,16,7,29,FL
2429,avenue q (tour),US-GA-524,27,17,10,32,GA
2430,movin' out (tour),US-CA-807,34,14,11,73,CA
2432,wicked (tour: emerald city),US-OH-535,13,15,16,64,OH
2433,bombay dreams (tour),US-CA-803,25,19,17,44,CA
2434,wicked (tour: emerald city),US-CA-825,23,19,14,100,CA
2436,avenue q (tour),US-FL-539,54,12,6,83,FL
2437,wicked (tour: emerald city),US-WA-819,13,26,19,69,WA
2438,movin' out (tour),US-MA-506,91,57,33,32,MA
