,Unnamed: 0,title,tour_descript,show_type,tour_opening,tour_closing,original_or_revival,reference_url,year
477,477,The Gin Game (Tour),Tour,Play,1978-10-03 00:00:00,1979-06-09 00:00:00,Original,http://www.ibdb.com/broadway-production/the-gin-game-522777#Tours,1978
478,478,The Magic Show (Tour),Tour,Musical,1974-12-17 00:00:00,1975-07-27 00:00:00,Original,http://www.ibdb.com/broadway-production/the-magic-show-522778#Tours,1974
479,479,Man of La Mancha (Tour),Tour,Musical,1978-01-03 00:00:00,1979-12-02 00:00:00,Revival,http://www.ibdb.com/broadway-production/man-of-la-mancha-522795#Tours,1978
480,480,Noises Off (Tour),Tour,Play,1985-02-07 00:00:00,1985-08-03 00:00:00,Original,http://www.ibdb.com/broadway-production/noises-off-522811#Tours,1985
481,481,Odyssey (Tour),Tour,Musical,1974-12-09 00:00:00,1975-10-11 00:00:00,Original,http://www.ibdb.com/broadway-production/odyssey-522818#Tours,1974
482,482,West Side Story (Tour),Tour,Musical,1987-07-28 00:00:00,1987-09-06 00:00:00,Revival,http://www.ibdb.com/broadway-production/west-side-story-523278#Tours,1987
483,483,Gypsy (Tour),Tour,Musical,1974-03-22 00:00:00,1974-09-14 00:00:00,Revival,http://www.ibdb.com/broadway-production/gypsy-523288#Tours,1974
484,484,Lorelei (Tour),Tour,Musical,1973-02-24 00:00:00,1974-01-12 00:00:00,Original,http://www.ibdb.com/broadway-production/lorelei-523302#Tours,1973
485,485,Gigi (Tour),Tour,Musical,1973-05-15 00:00:00,1973-11-03 00:00:00,Original,http://www.ibdb.com/broadway-production/gigi-523310#Tours,1973
486,486,Two Gentlemen of Verona (Tour),Tour,Musical,1973-01-20 00:00:00,1973-10-27 00:00:00,Original,http://www.ibdb.com/broadway-production/two-gentlemen-of-verona-523331#Tours,1973
487,487,The Rocky Horror Show (Tour),Tour,Musical,1980-10-30 00:00:00,1981-04-12 00:00:00,Original,http://www.ibdb.com/broadway-production/the-rocky-horror-show-523335#Tours,1980
488,488,Two Gentlemen of Verona (Tour),Tour,Musical,1973-09-20 00:00:00,1974-04-27 00:00:00,Original,http://www.ibdb.com/broadway-production/two-gentlemen-of-verona-523366#Tours,1973
489,489,The Unsinkable Molly Brown (Tour),Tour,Musical,1989-04-20 00:00:00,1990-06-17 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-unsinkable-molly-brown-523372#Tours,1989
490,490,"Same Time, Next Year (Tour)",Tour,Play,1975-12-02 00:00:00,1976-05-08 00:00:00,Original,http://www.ibdb.com/broadway-production/same-time-next-year-523377#Tours,1975
491,491,"Same Time, Next Year (Tour)",Tour,Play,1976-08-03 00:00:00,1978-01-28 00:00:00,Original,http://www.ibdb.com/broadway-production/same-time-next-year-523378#Tours,1976
492,492,"Same Time, Next Year (Tour)",Tour,Play,1977-04-12 00:00:00,1977-07-02 00:00:00,Original,http://www.ibdb.com/broadway-production/same-time-next-year-523381#Tours,1977
493,493,"Same Time, Next Year (Tour)",Tour,Play,1978-01-13 00:00:00,1978-04-22 00:00:00,Original,http://www.ibdb.com/broadway-production/same-time-next-year-523382#Tours,1978
494,494,Noises Off (Tour),Tour,Play,1985-09-05 00:00:00,1986-04-03 00:00:00,Original,http://www.ibdb.com/broadway-production/noises-off-523385#Tours,1985
495,495,Taking My Turn (Tour),Tour,Musical,1985-02-09 00:00:00,1985-03-10 00:00:00,Original,http://www.ibdb.com/broadway-production/taking-my-turn-523402#Tours,1985
496,496,Jesus Christ Superstar (Tour),Tour,Musical,2019-10-01 00:00:00,,Revival,http://www.ibdb.com/broadway-production/jesus-christ-superstar-523449#Tours,2019
497,497,The New One (Tour),Tour,Play,2019-09-24 00:00:00,2019-11-24 00:00:00,Original,http://www.ibdb.com/broadway-production/the-new-one-523452#Tours,2019
498,498,Irving Berlin's White Christmas (Tour),Tour,Musical,2019-11-09 00:00:00,2019-12-29 00:00:00,Revival,http://www.ibdb.com/broadway-production/irving-berlins-white-christmas-523454#Tours,2019
499,499,Once on This Island (Tour),Tour,Musical,2019-10-12 00:00:00,2020-03-14 00:00:00,Revival,http://www.ibdb.com/broadway-production/once-on-this-island-523456#Tours,2019
500,500,"When Hell Freezes Over, I'll Skate (Tour)",Tour,Musical,1984-04-10 00:00:00,1984-05-27 00:00:00,Original,http://www.ibdb.com/broadway-production/when-hell-freezes-over-ill-skate-523459#Tours,1984
501,501,H.M.S. Pinafore (Tour),Tour,Musical,1987-10-26 00:00:00,1988-04-03 00:00:00,Revival,http://www.ibdb.com/broadway-production/hms-pinafore-523581#Tours,1987
502,502,Driving Miss Daisy (Tour),Tour,Play,1988-09-13 00:00:00,1989-06-11 00:00:00,Original,http://www.ibdb.com/broadway-production/driving-miss-daisy-523600#Tours,1988
503,503,On the Twentieth Century (Tour),Tour,Musical,1986-10-10 00:00:00,1987-04-05 00:00:00,Revival,http://www.ibdb.com/broadway-production/on-the-twentieth-century-523607#Tours,1986
504,504,The Sunshine Boys (Tour),Tour,Play,1974-10-11 00:00:00,1975-04-17 00:00:00,Original,http://www.ibdb.com/broadway-production/the-sunshine-boys-523631#Tours,1974
505,505,The Student Prince (Tour),Tour,Musical,1973-06-04 00:00:00,1973-10-21 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-student-prince-523635#Tours,1973
506,506,The Last Ship (Tour),Tour,Musical,2020-01-14 00:00:00,2020-03-11 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-last-ship-523728#Tours,2020
507,507,Noël Coward in Two Keys (Tour),Tour,Play,1975-02-17 00:00:00,1975-08-02 00:00:00,Original,http://www.ibdb.com/broadway-production/nol-coward-in-two-keys-523742#Tours,1975
508,508,Pippin (Tour),Tour,Musical,1974-09-20 00:00:00,1975-04-05 00:00:00,Original,http://www.ibdb.com/broadway-production/pippin-523819#Tours,1974
509,509,My Fat Friend (Tour),Tour,Play,1974-12-10 00:00:00,1975-01-25 00:00:00,Original,http://www.ibdb.com/broadway-production/my-fat-friend-523825#Tours,1974
510,510,My Fat Friend (Tour),Tour,Play,1975-05-12 00:00:00,1975-06-29 00:00:00,Original,http://www.ibdb.com/broadway-production/my-fat-friend-523829#Tours,1975
511,511,Equus (Tour),Tour,Play,1976-09-24 00:00:00,1976-12-19 00:00:00,Original,http://www.ibdb.com/broadway-production/equus-523832#Tours,1976
512,512,Sherlock Holmes (Tour),Tour,Play,1976-01-14 00:00:00,1976-06-12 00:00:00,Revival,http://www.ibdb.com/broadway-production/sherlock-holmes-523838#Tours,1976
513,513,"No, No, Nanette (Tour)",Tour,Musical,1971-12-27 00:00:00,1973-03-10 00:00:00,Revival,http://www.ibdb.com/broadway-production/no-no-nanette-523925#Tours,1971
514,514,"No, No, Nanette (Tour)",Tour,Musical,1972-10-06 00:00:00,1973-08-04 00:00:00,Revival,http://www.ibdb.com/broadway-production/no-no-nanette-523967#Tours,1972
515,515,"No, No, Nanette (Tour)",Tour,Musical,1973-09-14 00:00:00,1974-03-10 00:00:00,Revival,http://www.ibdb.com/broadway-production/no-no-nanette-523994#Tours,1973
516,516,Company (Tour),Tour,Musical,1971-05-20 00:00:00,1972-05-20 00:00:00,Original,http://www.ibdb.com/broadway-production/company-524165#Tours,1971
517,517,Gigi (Tour),Tour,Musical,1984-09-04 00:00:00,1985-06-22 00:00:00,Revival,http://www.ibdb.com/broadway-production/gigi-524209#Tours,1984
518,518,Sleuth (Tour),Tour,Play,1988-05-03 00:00:00,1988-08-07 00:00:00,Revival,http://www.ibdb.com/broadway-production/sleuth-524235#Tours,1988
519,519,Torch Song Trilogy (Tour),Tour,Play,1983-06-21 00:00:00,1984-06-02 00:00:00,Original,http://www.ibdb.com/broadway-production/torch-song-trilogy-524238#Tours,1983
520,520,Torch Song Trilogy (Tour),Tour,Play,1984-08-27 00:00:00,1985-01-27 00:00:00,Original,http://www.ibdb.com/broadway-production/torch-song-trilogy-524252#Tours,1984
521,521,Godspell (Tour),Tour,Musical,1971-12-04 00:00:00,1973-07-28 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-524253#Tours,1971
522,522,Torch Song Trilogy (Tour),Tour,Play,1984-09-18 00:00:00,1985-04-06 00:00:00,Original,http://www.ibdb.com/broadway-production/torch-song-trilogy-524308#Tours,1984
523,523,Oliver! (Tour),Tour,Musical,1973-05-03 00:00:00,1973-08-18 00:00:00,Revival,http://www.ibdb.com/broadway-production/oliver-524325#Tours,1973
524,524,The Prisoner of Second Avenue (Tour),Tour,Play,1972-10-17 00:00:00,1973-04-21 00:00:00,Original,http://www.ibdb.com/broadway-production/the-prisoner-of-second-avenue-524397#Tours,1972
525,525,The Prisoner of Second Avenue (Tour),Tour,Play,1973-09-15 00:00:00,1974-03-10 00:00:00,Original,http://www.ibdb.com/broadway-production/the-prisoner-of-second-avenue-524404#Tours,1973
526,526,Little Shop of Horrors (Tour),Tour,Musical,1984-04-16 00:00:00,1984-10-21 00:00:00,Original,http://www.ibdb.com/broadway-production/little-shop-of-horrors-524408#Tours,1984
527,527,A Funny Thing Happened on the Way to the Forum (Tour),Tour,Musical,1998-10-13 00:00:00,1999-04-25 00:00:00,Revival,http://www.ibdb.com/broadway-production/a-funny-thing-happened-on-the-way-to-the-forum-524686#Tours,1998
