,Unnamed: 0,city,geo_code,full_code,metro_area_name
230,230,"Great Falls, MT",755,US-MT-755,Great Falls MT
231,231,"Missoula, MT",762,US-MT-762,Missoula MT
232,232,"Butte, MT",754,US-MT-754,Butte-Bozeman MT
233,233,"Rapid City, SD",764,US-SD-764,Rapid City SD
234,234,"Lima, OH",558,US-OH-558,Lima OH
235,235,"Springfield, IL",648,US-IL-648,Champaign & Springfield-Decatur IL
236,236,"Wabash, IN",509,US-IN-509,Ft. Wayne IN
237,237,"Clinton Township, MI",505,US-MI-505,Detroit MI
238,238,"Indiana, PA",508,US-PA-508,Pittsburgh PA
239,239,"York, PA",566,US-PA-566,Harrisburg-Lancaster-Lebanon-York PA
240,240,"Portland, ME",500,US-ME-500,Portland-Auburn ME
241,241,"Burlington, VT",523,US-VT-523,Burlington VT-Plattsburgh NY
242,242,"Shippensburg, PA",566,US-PA-566,Harrisburg-Lancaster-Lebanon-York PA
243,243,"West Point, NY",,US-NY,New York
244,244,"College Station, TX",625,US-TX-625,Waco-Temple-Bryan tX
245,245,"Colorado Springs, CO",752,US-CO-752,Colorado Springs-Pueblo CO
246,246,"Fort Wayne, IN",509,US-IN-509,Ft. Wayne IN
247,247,"Greensboro, NC",518,US-NC-518,Greensboro-High Point-Winston Salem NC
248,248,"Charleston, SC",519,US-SC-519,Charleston SC
249,249,"Las Cruces, NM",765,US-NM-765,El Paso TX
250,250,"Lubbock, TX",651,US-TX-651,Lubbock TX
251,251,"Vienna, VA",511,US-VA-511,Washington DC (Hagerstown MD)
252,252,"Englewood, NJ",NJ,US-NJ,New Jersey
253,253,"Texarkana, TX",612,US-LA-612,Shreveport LA
254,254,"Lancaster, PA",566,US-PA-566,Harrisburg-Lancaster-Lebanon-York PA
255,255,"Morristown, NJ",NJ,US-NJ,New Jersey
256,256,"Mountain Home, AR",619,US-AR-619,Springfield MO
257,257,"Maumelle, AR",693,US-AR-693,Little Rock-Pine Bluff AR
258,258,"Lufkin, TX",709,US-TX-709,Tyler-Longview(Lufkin & Nacogdoches) TX
259,259,"Pueblo, CO",752,US-CO-752,Colorado Springs-Pueblo CO
260,260,"Medford, OR",813,US-OR-813,Medford-Klamath Falls
261,261,"Chico, CA",868,US-CA-868,Chico-Redding CA
262,262,"Keene, NH",506,US-NH-506,Boston MA-Manchester NH
263,263,"Brookville, NY",501,US-NY-501,New York NY
264,264,"Bethlehem, PA",504,US-PA-504,Philadelphia PA
265,265,"Albany, NY",532,US-NY-532,Albany-Schenactady-Troy NY
266,266,"Lowell, MA",506,US-MA-506,Boston MA-Manchester NH
267,267,"Williamsport, PA",577,US-PA-577,Wilkes Barre-Scranton PA
268,268,"Prescott, AZ",753,US-AZ-753,Phoenix AZ
269,269,"Prior Lake, MN",613,US-MN-613,Minneapolis-St. Paul MN
270,270,"Topeka, KS",605,US-KS-605,Topeka KS
271,271,"Sugar Land, TX",618,US-TX-618,Houston TX
272,272,"San Angelo, TX",661,US-TX-661,San Angelo TX
273,273,"Stockton, CA",862,US-CA-862,Sacramento-Stockton-Modesto CA
274,274,"Logan, UT",770,US-NV-770,Salt Lake City UT
275,275,"Salem, VA",573,US-VA-573,Roanoke-Lynchburg VA
276,276,"Rama, ON",ON,CA-ON,Ontario
277,277,"Duluth, MN",676,US-MN-676,Duluth MN-Superior WI
278,278,"Wilkes-Barre, PA",577,US-PA-577,Wilkes Barre-Scranton PA
279,279,"Rutland, VT",523,US-VT-523,Burlington VT-Plattsburgh NY
280,280,"Red Bank, NJ",NJ,US-NJ,New Jersey
281,281,"Cape Girardeau, MO",632,US-MO-632,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
282,282,"Maryville, TN",557,US-TN-557,Knoxville TN
283,283,"Snoqualmie , WA",819,US-WA-819,Seattle-Tacoma WA
284,284,"Wenatchee, WA",810,US-WA-810,Yakima-Pasco-Richland-Kennewick WA
285,285,"Redding, CA",868,US-CA-868,Chico-Redding CA
286,286,"Temecula, CA",803,US-CA-803,Los Angeles CA
287,287,"Indio, CA",804,US-CA-804,Palm Springs CA
288,288,"Alto, NM",765,US-NM-765,El Paso TX
289,289,"Santa Fe, NM",790,US-NM-790,Albuquerque-Santa Fe NM
290,290,"Oxon Hill, MD",511,US-MD-511,Washington DC (Hagerstown MD)
291,291,"Van Wert, OH",558,US-OH-558,Lima OH
292,292,"Joliet, IL",602,US-IL-602,Chicago IL
293,293,"Irving, TX",623,US-TX-623,Dallas-Ft. Worth TX
294,294,"Newark, NJ",NJ,US-NJ,New Jersey
295,295,"Fayetteville, NC",560,US-NC-560,Raleigh-Durham (Fayetteville) NC
296,296,"Stamford, CT",,US-CT,Connecticut
297,297,"Warren, OH",536,US-OH-536,Youngstown OH
298,298,"Prince George, BC",BC,CA-BC,British Columbia
299,299,"Kamloops, BC",BC,CA-BC,British Columbia
300,300,"Lethbridge, AB",AB,CA-AB,Alberta
301,301,"Red Deer, AB",AB,CA-AB,Alberta
302,302,"Grand Forks, ND",724,US-ND-724,Fargo-Valley City ND
303,303,"Dodge City, KS",678,US-KS-678,Wichita-Hutchinson KS
304,304,"Salisbury, MD",576,US-MD-576,Salisbury MD
305,305,"Panama City, FL",656,US-FL-656,Panama City FL
306,306,"Tallahassee, FL",530,US-FL-530,Tallahassee FL Thomasvile GA
307,307,"St. Paul, MN",613,US-MN-613,Minneapolis-St. Paul MN
308,308,"Bloomsburg, PA",577,US-PA-577,Wilkes Barre-Scranton PA
309,309,"Portsmouth, OH",564,US-OH-564,Charleston-Huntington WV
310,310,"Brookings, SD",725,US-SD-725,Sioux Falls(Mitchell) SD
311,311,"Normal, IL",675,US-IL-675,Peoria-Bloomington IL
312,312,"Biloxi, MS",746,US-MS-746,Biloxi-Gulfport MS
313,313,"Hamilton, ON",ON,CA-ON,Ontario
314,314,"New York, NY",501,US-NY-501,New York NY
315,315,"Carmel, CA",828,US-CA-828,Monterey-Salinas CA
316,316,"Yakima, WA",810,US-WA-810,Yakima-Pasco-Richland-Kennewick WA
317,317,"New Bedford, MA",521,US-MA-521,Providence RI-New Bedford MA
318,318,"Bloomington, IL",675,US-IL-675,Peoria-Bloomington IL
319,319,"Alma, AR",670,US-AR-670,Ft. Smith-Fayetteville-Springdale-Rogers AR
320,320,"Beverly Hills, CA",803,US-CA-803,Los Angeles CA
321,321,"Oakland, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
322,322,"Fort Pierce, FL",548,US-FL-548,West Palm Beach-Ft. Pierce FL
323,323,"Somerville, NJ",NJ,US-NJ,New Jersey
324,324,"St. Petersburg, FL",539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL
325,325,"Beaver Creek, CO",751,US-CO-751,Denver CO
326,326,"Lynn, MA",506,US-MA-506,Boston MA-Manchester NH
327,327,"Ridgefield , CT",,US-CT,Connecticut
328,328,"Hampton, VA",544,US-VA-544,Norfolk-Portsmouth-Newport News VA
329,329,"Mexico City, n/a",DIF,MX-DIF,Mexico City MX
330,330,"Fort Smith, AR",670,US-AR-670,Ft. Smith-Fayetteville-Springdale-Rogers AR
331,331,"San Bernadino, CA",803,US-CA-803,Los Angeles CA
332,332,"La Mirada, CA",803,US-CA-803,Los Angeles CA
333,333,"Rosemont, IL",602,US-IL-602,Chicago IL
334,334,"Ashland, KY",564,US-KY-564,Charleston-Huntington WV
335,335,"Mansfield, OH",510,US-OH-510,Cleveland-Akron (Canton) OH
336,336,"Hays, KS",678,US-KS-678,Wichita-Hutchinson KS
337,337,"Bellingham, WA",819,US-WA-819,Seattle-Tacoma WA
338,338,"Greeley, CO",751,US-CO-751,Denver CO
339,339,"Pembroke, NC",560,US-NC-560,Raleigh-Durham (Fayetteville) NC
340,340,"Columbia, MO",604,US-MO-604,Columbia-Jefferson City MO
341,341,"Fairbanks, AK",745,US-AK-745,Fairbanks AK
342,342,"Penticton, BC",BC,CA-BC,British Columbia
343,343,"Chilliwack, BC",BC,CA-BC,British Columbia
344,344,"Dawson Creek, BC",BC,CA-BC,British Columbia
345,345,"Peterborough, ON",ON,CA-ON,Ontario
346,346,"Sault Sainte Marie, ON",ON,CA-ON,Ontario
347,347,"Sudbury, ON",ON,CA-ON,Ontario
348,348,"Kingston, ON",ON,CA-ON,Ontario
349,349,"Arcata, CA",802,US-CA-802,Eureka CA
350,350,"Spartanburg, SC",567,US-SC-567,"Greenville-Spartanburg SC-Asheville NC-Anderson SC,"
351,351,"Johnstown, PA",574,US-PA-574,Johnstown-Altoona PA
352,352,"Mississauga, ON",ON,CA-ON,Ontario
353,353,"Pasadena, CA",803,US-CA-803,Los Angeles CA
354,354,"Guadalajara, ",JAL,MX-JAL,Jalisco
355,355,"Long Beach, CA",803,US-CA-803,Los Angeles CA
356,356,"Cerritos, CA",803,US-CA-803,Los Angeles CA
357,357,"Mesa, AZ",753,US-AZ-753,Phoenix AZ
358,358,"Purchase, NY",501,US-NY-501,New York NY
359,359,"Myrtle Beach, SC",570,US-SC-570,Florence-Myrtle Beach SC
360,360,"Grand Prairie, TX",623,US-TX-623,Dallas-Ft. Worth TX
361,361,"Palm Beach, FL",548,US-FL-548,West Palm Beach-Ft. Pierce FL
362,362,"New London, CT",,US-CT,Connecticut
363,363,"La Jolla, CA",825,US-CA-825,San Diego CA
364,364,"Rosemont, PA",504,US-PA-504,Philadelphia PA
365,365,"Camden, NJ",NJ,US-NJ,New Jersey
366,366,"Allentown, PA",504,US-PA-504,Philadelphia PA
