,title,tour_descript,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour,year_nyc,opening_date,closing_date,production_type,show_type_nyc,n_performances_nyc
40,Hamilton,Hamilton (Tour: And Peggy),Musical,2019-02-12 00:00:00,,Original,http://www.ibdb.com/broadway-production/hamilton-525632#Tours,2019,2015,2015-08-06,,Premiere,Musical,
41,Aladdin,Aladdin (Tour),Musical,2017-04-11 00:00:00,2020-03-12 00:00:00,Original,http://www.ibdb.com/broadway-production/aladdin-504676#Tours,2017,2014,2014-03-20,,Original Production,Musical,
42,The Addams Family,The Addams Family (Tour),Musical,2011-09-15 00:00:00,2012-12-30 00:00:00,Original,http://www.ibdb.com/broadway-production/the-addams-family-504860#Tours,2011,2010,2010-04-08,2011-12-31,Original Production,Musical,
43,Come Fly Away,Come Fly Away (Tour),Musical,2011-08-02 00:00:00,2012-06-10 00:00:00,Original,http://www.ibdb.com/broadway-production/come-fly-away-504901#Tours,2011,2010,2010-03-25,2010-09-05,Original Production,Musical,
44,Looped,Looped (Tour),Play,2013-02-26 00:00:00,2013-05-12 00:00:00,Original,http://www.ibdb.com/broadway-production/looped-504912#Tours,2013,2010,2010-03-14,2010-04-11,Original Production,Play,33.0
45,West Side Story,West Side Story (Tour),Musical,2010-09-30 00:00:00,2012-06-10 00:00:00,Revival,http://www.ibdb.com/broadway-production/west-side-story-505024#Tours,2010,2009,2009-03-19,2011-01-02,Revival,Musical,
46,Young Frankenstein,Young Frankenstein (Tour),Musical,2009-09-29 00:00:00,2011-05-15 00:00:00,Original,http://www.ibdb.com/broadway-production/young-frankenstein-505106#Tours,2009,2007,2007-11-08,2009-01-04,Original Production,Musical,
47,Legally Blonde,Legally Blonde (Tour),Musical,2008-09-23 00:00:00,2010-08-10 00:00:00,Original,http://www.ibdb.com/broadway-production/legally-blonde-505615#Tours,2008,2007,2007-04-29,2008-10-19,Original Production,Musical,595.0
48,Hair,Hair (Tour),Musical,2010-10-22 00:00:00,2012-01-29 00:00:00,Revival,http://www.ibdb.com/broadway-production/hair-505663#Tours,2010,2009,2009-03-31,2010-06-27,Revival,Musical,
49,American Idiot,American Idiot (Tour),Musical,2011-12-21 00:00:00,2012-07-08 00:00:00,Original,http://www.ibdb.com/broadway-production/american-idiot-505664#Tours,2011,2010,2010-04-20,2011-04-24,Original Production,Musical,
50,Sweeney Todd,Sweeney Todd (Tour),Musical,2007-10-23 00:00:00,2008-06-29 00:00:00,Revival,http://www.ibdb.com/broadway-production/sweeney-todd-505675#Tours,2007,2005,2005-11-03,2006-09-03,Revival,Operetta,349.0
51,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf? (Tour),Play,2007-01-04 00:00:00,2007-05-20 00:00:00,Revival,http://www.ibdb.com/broadway-production/whos-afraid-of-virginia-woolf-505681#Tours,2007,2005,2005-03-20,2005-09-04,Revival,Play,177.0
52,Grease,Grease (Tour),Musical,2008-12-02 00:00:00,2010-05-23 00:00:00,Revival,http://www.ibdb.com/broadway-production/grease-505713#Tours,2008,2007,2007-08-19,2009-01-04,Revival,Musical,
53,South Pacific,South Pacific (Tour),Musical,2009-09-18 00:00:00,2011-03-20 00:00:00,Revival,http://www.ibdb.com/broadway-production/south-pacific-505742#Tours,2009,2008,2008-04-03,2010-08-22,Revival,Musical,
54,Xanadu,Xanadu (Tour),Musical,2009-01-16 00:00:00,2010-05-09 00:00:00,Original,http://www.ibdb.com/broadway-production/xanadu-505747#Tours,2009,2007,2007-07-10,2008-09-28,Original Production,Musical,528.0
55,Frost/Nixon,Frost/Nixon (Tour),Play,2008-09-30 00:00:00,2009-05-10 00:00:00,Original,http://www.ibdb.com/broadway-production/frost-nixon-505754#Tours,2008,2007,2007-04-22,2007-08-19,Original Production,Play,137.0
