,Unnamed: 0,Unnamed: 0.1,tour_descript,city,dates,theatre,city_opening_date,city_closing_date,geo_code,full_code,metro_area_name,year
3913,3913,3913,sister act (tour),"Tampa, FL","Dec 11, 2012 - Dec 16, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-12-11 00:00:00,2012-12-16 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3914,3914,3914,priscilla queen of the desert (tour),"Tampa, FL","Apr 09, 2013 - Apr 14, 2013","David A. Straz, Jr. Center for the Performing Arts",2013-04-09 00:00:00,2013-04-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2017
3915,3915,3915,les misérables (tour: 25th anniversary),"Tampa, FL","Jan 31, 2012 - Feb 12, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-01-31 00:00:00,2012-02-12 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2018
3916,3916,3916,mary poppins (tour),"Tampa, FL","Dec 24, 2012 - Dec 30, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-12-24 00:00:00,2012-12-30 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
3917,3917,3917,mary poppins (tour),"Tampa, FL","May 18, 2010 - Jun 06, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-05-18 00:00:00,2010-06-06 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3918,3918,3918,la cage aux folles (tour),"Tampa, FL","Feb 21, 2012 - Feb 26, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-02-21 00:00:00,2012-02-26 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
3919,3919,3919,hamilton (tour: angelica),"Tampa, FL","Jun 01, 2021 - Jun 27, 2021","David A. Straz, Jr. Center for the Performing Arts",2021-06-01 00:00:00,2021-06-27 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3920,3920,3920,aladdin (tour),"Tampa, FL","Dec 19, 2019 - Jan 05, 2020","David A. Straz, Jr. Center for the Performing Arts",2019-12-19 00:00:00,2020-01-05 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
3921,3921,3921,jekyll &amp; hyde (tour),"Tampa, FL","Oct 23, 2012 - Oct 28, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-10-23 00:00:00,2012-10-28 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3922,3922,3922,the addams family (tour),"Tampa, FL","Oct 18, 2011 - Oct 23, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-10-18 00:00:00,2011-10-23 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3923,3923,3923,jersey boys (tour),"Tampa, FL","Mar 22, 2011 - Apr 17, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-03-22 00:00:00,2011-04-17 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3924,3924,3924,jersey boys (tour),"Tampa, FL","Feb 13, 2008 - Mar 15, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-02-13 00:00:00,2008-03-15 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2016
3925,3925,3925,come fly away (tour),"Tampa, FL","Mar 27, 2012 - Apr 01, 2012","David A. Straz, Jr. Center for the Performing Arts",2012-03-27 00:00:00,2012-04-01 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2017
3926,3926,3926,peter pan (tour),"Tampa, FL","Nov 08, 2011 - Nov 13, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-11-08 00:00:00,2011-11-13 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2014
3927,3927,3927,shrek the musical (tour),"Tampa, FL","May 03, 2011 - May 08, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-05-03 00:00:00,2011-05-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3928,3928,3928,west side story (tour),"Tampa, FL","Mar 01, 2011 - Mar 06, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-03-01 00:00:00,2011-03-06 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3929,3929,3929,9 to 5 (tour),"Tampa, FL","Oct 26, 2010 - Oct 31, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-10-26 00:00:00,2010-10-31 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3930,3930,3930,flashdance the musical (tour),"Tampa, FL","Feb 19, 2013 - Feb 24, 2013","David A. Straz, Jr. Center for the Performing Arts",2013-02-19 00:00:00,2013-02-24 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3931,3931,3931,dirty dancing (tour),"Tampa, FL","Dec 02, 2014 - Dec 07, 2014","David A. Straz, Jr. Center for the Performing Arts",2014-12-02 00:00:00,2014-12-07 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3932,3932,3932,the bodyguard (tour),"Tampa, FL","Mar 20, 2018 - Mar 25, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-03-20 00:00:00,2018-03-25 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3933,3933,3933,we will rock you (tour),"Tampa, FL","May 13, 2014 - May 18, 2014","David A. Straz, Jr. Center for the Performing Arts",2014-05-13 00:00:00,2014-05-18 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3934,3934,3934,a christmas story the musical (tour),"Tampa, FL","Dec 06, 2011 - Dec 11, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-12-06 00:00:00,2011-12-11 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
3935,3935,3935,hair (tour),"Tampa, FL","May 24, 2011 - May 29, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-05-24 00:00:00,2011-05-29 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
3936,3936,3936,grease (tour),"Tampa, FL","Aug 18, 2009 - Aug 23, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-08-18 00:00:00,2009-08-23 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3937,3937,3937,south pacific (tour),"Tampa, FL","Jan 12, 2010 - Jan 17, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-01-12 00:00:00,2010-01-17 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3938,3938,3938,frost/nixon (tour),"Tampa, FL","Feb 17, 2009 - Feb 22, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-02-17 00:00:00,2009-02-22 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3939,3939,3939,little house on the prairie (tour),"Tampa, FL","Mar 02, 2010 - Mar 07, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-03-02 00:00:00,2010-03-07 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
3940,3940,3940,billy elliot: the musical (tour),"Tampa, FL","Feb 02, 2011 - Feb 20, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-02-02 00:00:00,2011-02-20 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3941,3941,3941,fiddler on the roof (tour),"Tampa, FL","Apr 28, 2009 - May 03, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-04-28 00:00:00,2009-05-03 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3942,3942,3942,in the heights (tour),"Tampa, FL","Oct 27, 2009 - Nov 01, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-10-27 00:00:00,2009-11-01 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3943,3943,3943,mamma mia! (tour: second national),"Tampa, FL","Jul 12, 2011 - Jul 17, 2011","David A. Straz, Jr. Center for the Performing Arts",2011-07-12 00:00:00,2011-07-17 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3944,3944,3944,mamma mia! (tour: second national),"Tampa, FL","Aug 19, 2008 - Aug 24, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-08-19 00:00:00,2008-08-24 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3945,3945,3945,mamma mia! (tour: second national),"Tampa, FL","May 09, 2006 - May 14, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-05-09 00:00:00,2006-05-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3946,3946,3946,mamma mia! (tour: second national),"Tampa, FL","Sep 07, 2004 - Sep 12, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-09-07 00:00:00,2004-09-12 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2012
3948,3948,3948,rent (tour: mark),"Tampa, FL","Jul 07, 2009 - Jul 12, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-07-07 00:00:00,2009-07-12 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3949,3949,3949,chitty chitty bang bang (tour),"Tampa, FL","Dec 09, 2008 - Dec 14, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-12-09 00:00:00,2008-12-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3950,3950,3950,a chorus line (tour),"Tampa, FL","Feb 03, 2009 - Feb 08, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-02-03 00:00:00,2009-02-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2017
3951,3951,3951,into the woods (tour),"Tampa, FL","Nov 29, 2016 - Dec 04, 2016","David A. Straz, Jr. Center for the Performing Arts",2016-11-29 00:00:00,2016-12-04 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3952,3952,3952,spring awakening (tour),"Tampa, FL","Dec 29, 2008 - Jan 04, 2009","David A. Straz, Jr. Center for the Performing Arts",2008-12-29 00:00:00,2009-01-04 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
3953,3953,3953,dreamgirls (tour),"Tampa, FL","Nov 16, 2010 - Nov 21, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-11-16 00:00:00,2010-11-21 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3955,3955,3955,twelve angry men (tour),"Tampa, FL","Oct 09, 2007 - Oct 14, 2007","David A. Straz, Jr. Center for the Performing Arts",2007-10-09 00:00:00,2007-10-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3956,3956,3956,avenue q (tour),"Tampa, FL","Apr 01, 2008 - Apr 06, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-04-01 00:00:00,2008-04-06 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3957,3957,3957,spamalot (tour),"Tampa, FL","Mar 03, 2009 - Mar 08, 2009","David A. Straz, Jr. Center for the Performing Arts",2009-03-03 00:00:00,2009-03-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
3958,3958,3958,spamalot (tour),"Tampa, FL","Jan 23, 2007 - Feb 04, 2007","David A. Straz, Jr. Center for the Performing Arts",2007-01-23 00:00:00,2007-02-04 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3959,3959,3959,dirty rotten scoundrels (tour),"Tampa, FL","Nov 14, 2006 - Nov 19, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-11-14 00:00:00,2006-11-19 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
3960,3960,3960,my fair lady (tour),"Tampa, FL","Sep 12, 2007 - Sep 15, 2007","David A. Straz, Jr. Center for the Performing Arts",2007-09-12 00:00:00,2007-09-15 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3962,3962,3962,the light in the piazza (tour),"Tampa, FL","Oct 03, 2006 - Oct 08, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-10-03 00:00:00,2006-10-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
3963,3963,3963,doubt (tour),"Tampa, FL","Apr 24, 2007 - Apr 29, 2007","David A. Straz, Jr. Center for the Performing Arts",2007-04-24 00:00:00,2007-04-29 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3964,3964,3964,annie (tour),"Tampa, FL","Dec 13, 2005 - Dec 18, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-12-13 00:00:00,2005-12-18 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
3965,3965,3965,movin' out (tour),"Tampa, FL","Feb 14, 2006 - Feb 19, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-02-14 00:00:00,2006-02-19 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3966,3966,3966,movin' out (tour),"Tampa, FL","Jan 11, 2005 - Jan 16, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-01-11 00:00:00,2005-01-16 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3969,3969,3969,joseph and the amazing technicolor dreamcoat (tour: 2005),"Tampa, FL","Apr 18, 2006 - Apr 23, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-04-18 00:00:00,2006-04-23 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3971,3971,3971,the producers (tour: max),"Tampa, FL","Apr 20, 2004 - May 02, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-04-20 00:00:00,2004-05-02 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2005
3972,3972,3972,on the record (tour),"Tampa, FL","May 03, 2005 - May 08, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-05-03 00:00:00,2005-05-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2004
3976,3976,3976,urinetown (tour),"Tampa, FL","Mar 23, 2004 - Mar 28, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-03-23 00:00:00,2004-03-28 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
3977,3977,3977,jesus christ superstar (tour),"Tampa, FL","Jan 13, 2004 - Jan 18, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-01-13 00:00:00,2004-01-18 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2004
3978,3978,3978,evita (tour: 2004),"Tampa, FL","Nov 08, 2005 - Nov 13, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-11-08 00:00:00,2005-11-13 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2004
3979,3979,3979,big river (tour),"Tampa, FL","Mar 29, 2005 - Apr 03, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-03-29 00:00:00,2005-04-03 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2005
3984,3984,3984,peter pan (tour),"Tampa, FL","Oct 11, 2005 - Oct 16, 2005","David A. Straz, Jr. Center for the Performing Arts",2005-10-11 00:00:00,2005-10-16 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2005
4005,4005,4005,the phantom of the opera (tour: music box),"Tampa, FL","Oct 28, 2008 - Nov 23, 2008","David A. Straz, Jr. Center for the Performing Arts",2008-10-28 00:00:00,2008-11-23 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2019
4006,4006,4006,the phantom of the opera (tour: music box),"Tampa, FL","Dec 08, 2004 - Jan 02, 2005","David A. Straz, Jr. Center for the Performing Arts",2004-12-08 00:00:00,2005-01-02 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2018
4012,4012,4012,chicago (tour),"Tampa, FL","Jun 27, 2006 - Jul 02, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-06-27 00:00:00,2006-07-02 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2019
4013,4013,4013,chicago (tour),"Tampa, FL","Aug 03, 2004 - Aug 08, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-08-03 00:00:00,2004-08-08 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2019
4016,4016,4016,les misérables (tour: third national),"Tampa, FL","May 18, 2004 - May 30, 2004","David A. Straz, Jr. Center for the Performing Arts",2004-05-18 00:00:00,2004-05-30 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
4023,4023,4023,irving berlin's white christmas (tour: 2010),"Tampa, FL","Nov 30, 2010 - Dec 05, 2010","David A. Straz, Jr. Center for the Performing Arts",2010-11-30 00:00:00,2010-12-05 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2015
4047,4047,4047,motown the musical (tour),"Tampa, FL","Aug 08, 2017 - Aug 13, 2017","David A. Straz, Jr. Center for the Performing Arts",2017-08-08 00:00:00,2017-08-13 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2017
4056,4056,4056,on golden pond (tour),"Tampa, FL","Dec 05, 2006 - Dec 10, 2006","David A. Straz, Jr. Center for the Performing Arts",2006-12-05 00:00:00,2006-12-10 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
4057,4057,4057,waitress (tour),"Tampa, FL","Apr 24, 2018 - Apr 29, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-04-24 00:00:00,2018-04-29 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
4058,4058,4058,on your feet! (tour),"Tampa, FL","Oct 24, 2017 - Oct 29, 2017","David A. Straz, Jr. Center for the Performing Arts",2017-10-24 00:00:00,2017-10-29 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
4059,4059,4059,hamilton (tour: philip),"Tampa, FL","Feb 12, 2019 - Mar 10, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-02-12 00:00:00,2019-03-10 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
4070,4070,4070,school of rock – the musical (tour),"Tampa, FL","Jan 02, 2018 - Jan 07, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-01-02 00:00:00,2018-01-07 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
4072,4072,4072,love never dies (tour),"Tampa, FL","Dec 12, 2017 - Dec 17, 2017","David A. Straz, Jr. Center for the Performing Arts",2017-12-12 00:00:00,2017-12-17 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
4073,4073,4073,les misérables (tour),"Tampa, FL","Jan 15, 2019 - Jan 20, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-01-15 00:00:00,2019-01-20 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2013
4075,4075,4075,the color purple (tour),"Tampa, FL","Mar 06, 2018 - Mar 11, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-03-06 00:00:00,2018-03-11 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2017
4084,4084,4084,dear evan hansen (tour),"Tampa, FL","Apr 09, 2019 - Apr 14, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-04-09 00:00:00,2019-04-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
4085,4085,4085,dear evan hansen (tour),"Tampa, FL","Mar 23, 2021 - Mar 28, 2021","David A. Straz, Jr. Center for the Performing Arts",2021-03-23 00:00:00,2021-03-28 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
4086,4086,4086,"hello, dolly! (tour)","Tampa, FL","Dec 04, 2018 - Dec 09, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-12-04 00:00:00,2018-12-09 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
4087,4087,4087,anastasia (tour),"Tampa, FL","May 07, 2019 - May 12, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-05-07 00:00:00,2019-05-12 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2011
4088,4088,4088,a bronx tale the musical (tour),"Tampa, FL","Jan 29, 2019 - Feb 03, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-01-29 00:00:00,2019-02-03 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2007
4089,4089,4089,charlie and the chocolate factory (tour),"Tampa, FL","Oct 08, 2019 - Oct 13, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-10-08 00:00:00,2019-10-13 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2006
4090,4090,4090,come from away (tour),"Tampa, FL","Jun 04, 2019 - Jun 09, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-06-04 00:00:00,2019-06-09 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
4091,4091,4091,the play that goes wrong (tour),"Tampa, FL","Oct 16, 2018 - Oct 21, 2018","David A. Straz, Jr. Center for the Performing Arts",2018-10-16 00:00:00,2018-10-21 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2009
4092,4092,4092,the lightning thief (tour),"Tampa, FL","Jul 09, 2019 - Jul 14, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-07-09 00:00:00,2019-07-14 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
4094,4094,4094,mean girls (tour),"Tampa, FL","Feb 18, 2020 - Feb 23, 2020","David A. Straz, Jr. Center for the Performing Arts",2020-02-18 00:00:00,2020-02-23 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2008
4095,4095,4095,once on this island (tour),"Tampa, FL","Nov 19, 2019 - Nov 24, 2019","David A. Straz, Jr. Center for the Performing Arts",2019-11-19 00:00:00,2019-11-24 00:00:00,539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL,2010
4109,4109,4109,the lion king (tour: gazelle),"Chicago, IL","Dec 02, 2015 - Jan 17, 2016",Cadillac Palace Theatre,2015-12-02 00:00:00,2016-01-17 00:00:00,602,US-IL-602,Chicago IL,2005
4110,4110,4110,the lion king (tour: gazelle),"Chicago, IL","Oct 01, 2010 - Nov 27, 2010",Cadillac Palace Theatre,2010-10-01 00:00:00,2010-11-27 00:00:00,602,US-IL-602,Chicago IL,2005
4111,4111,4111,the book of mormon (tour: jumamosi),"Chicago, IL","Nov 20, 2018 - Dec 02, 2018",James M. Nederlander Theatre,2018-11-20 00:00:00,2018-12-02 00:00:00,602,US-IL-602,Chicago IL,2007
4112,4112,4112,the book of mormon (tour: jumamosi),"Chicago, IL","Jun 29, 2016 - Aug 14, 2016",CIBC Theatre,2016-06-29 00:00:00,2016-08-14 00:00:00,602,US-IL-602,Chicago IL,2006
4113,4113,4113,the book of mormon (tour: jumamosi),"Chicago, IL","Feb 24, 2015 - May 17, 2015",CIBC Theatre,2015-02-24 00:00:00,2015-05-17 00:00:00,602,US-IL-602,Chicago IL,2004
4115,4115,4115,pippin (tour),"Chicago, IL","Jul 29, 2015 - Aug 09, 2015",Cadillac Palace Theatre,2015-07-29 00:00:00,2015-08-09 00:00:00,602,US-IL-602,Chicago IL,2005
4116,4116,4116,rodgers + hammerstein's cinderella (tour),"Chicago, IL","Dec 16, 2014 - Jan 04, 2015",Cadillac Palace Theatre,2014-12-16 00:00:00,2015-01-04 00:00:00,602,US-IL-602,Chicago IL,2004
4117,4117,4117,kinky boots (tour),"Chicago, IL","Aug 30, 2016 - Sep 04, 2016",James M. Nederlander Theatre,2016-08-30 00:00:00,2016-09-04 00:00:00,602,US-IL-602,Chicago IL,2008
4118,4118,4118,kinky boots (tour),"Chicago, IL","Jul 07, 2015 - Jul 26, 2015",Cadillac Palace Theatre,2015-07-07 00:00:00,2015-07-26 00:00:00,602,US-IL-602,Chicago IL,2004
4119,4119,4119,newsies the musical (tour),"Chicago, IL","Jul 28, 2016 - Aug 07, 2016",Cadillac Palace Theatre,2016-07-28 00:00:00,2016-08-07 00:00:00,602,US-IL-602,Chicago IL,2005
4120,4120,4120,newsies the musical (tour),"Chicago, IL","Dec 10, 2014 - Jan 04, 2015",James M. Nederlander Theatre,2014-12-10 00:00:00,2015-01-04 00:00:00,602,US-IL-602,Chicago IL,2004
4121,4121,4121,jersey boys (tour),"Chicago, IL","Apr 02, 2019 - Apr 07, 2019",Auditorium Theatre of Roosevelt University,2019-04-02 00:00:00,2019-04-07 00:00:00,602,US-IL-602,Chicago IL,2009
4122,4122,4122,jersey boys (tour),"Chicago, IL","May 12, 2015 - May 24, 2015",Cadillac Palace Theatre,2015-05-12 00:00:00,2015-05-24 00:00:00,602,US-IL-602,Chicago IL,2005
4123,4123,4123,once (tour),"Chicago, IL","Jun 02, 2015 - Jun 07, 2015",Cadillac Palace Theatre,2015-06-02 00:00:00,2015-06-07 00:00:00,602,US-IL-602,Chicago IL,2006
4124,4124,4124,once (tour),"Chicago, IL","Oct 09, 2013 - Oct 27, 2013",James M. Nederlander Theatre,2013-10-09 00:00:00,2013-10-27 00:00:00,602,US-IL-602,Chicago IL,2006
4125,4125,4125,wicked (tour: emerald city),"Chicago, IL","Oct 29, 2013 - Dec 22, 2013",James M. Nederlander Theatre,2013-10-29 00:00:00,2013-12-22 00:00:00,602,US-IL-602,Chicago IL,2011
4126,4126,4126,wicked (tour: emerald city),"Chicago, IL","Nov 30, 2010 - Jan 23, 2011",Cadillac Palace Theatre,2010-11-30 00:00:00,2011-01-23 00:00:00,602,US-IL-602,Chicago IL,2018
4127,4127,4127,wicked (tour: emerald city),"Chicago, IL","Apr 29, 2005 - Jun 12, 2005",James M. Nederlander Theatre,2005-04-29 00:00:00,2005-06-12 00:00:00,602,US-IL-602,Chicago IL,2018
4128,4128,4128,wicked (tour: munchkinland),"Chicago, IL","Dec 06, 2017 - Jan 21, 2018",James M. Nederlander Theatre,2017-12-06 00:00:00,2018-01-21 00:00:00,602,US-IL-602,Chicago IL,2018
4129,4129,4129,motown the musical (tour),"Chicago, IL","Apr 22, 2014 - Aug 10, 2014",James M. Nederlander Theatre,2014-04-22 00:00:00,2014-08-10 00:00:00,602,US-IL-602,Chicago IL,2018
4130,4130,4130,the phantom of the opera (tour),"Chicago, IL","Dec 18, 2019 - Jan 05, 2020",Cadillac Palace Theatre,2019-12-18 00:00:00,2020-01-05 00:00:00,602,US-IL-602,Chicago IL,2018
4131,4131,4131,the phantom of the opera (tour),"Chicago, IL","Dec 14, 2016 - Jan 08, 2017",Cadillac Palace Theatre,2016-12-14 00:00:00,2017-01-08 00:00:00,602,US-IL-602,Chicago IL,2018
4132,4132,4132,the phantom of the opera (tour),"Chicago, IL","Jan 09, 2014 - Mar 02, 2014",Cadillac Palace Theatre,2014-01-09 00:00:00,2014-03-02 00:00:00,602,US-IL-602,Chicago IL,2018
4133,4133,4133,matilda the musical (tour),"Chicago, IL","Mar 22, 2016 - Apr 10, 2016",James M. Nederlander Theatre,2016-03-22 00:00:00,2016-04-10 00:00:00,602,US-IL-602,Chicago IL,2019
4134,4134,4134,the illusionists - witness the impossible (tour),"Chicago, IL","Feb 21, 2017 - Feb 26, 2017",James M. Nederlander Theatre,2017-02-21 00:00:00,2017-02-26 00:00:00,602,US-IL-602,Chicago IL,2019
4135,4135,4135,the illusionists - witness the impossible (tour),"Chicago, IL","Mar 10, 2015 - Mar 22, 2015",Cadillac Palace Theatre,2015-03-10 00:00:00,2015-03-22 00:00:00,602,US-IL-602,Chicago IL,2019
