,geo_code,theatre_near_me,shows_near_me
87,Hartford & New Haven CT,43%,57%
88,Seattle-Tacoma WA,45%,55%
89,Miami-Ft. Lauderdale FL,52%,48%
90,La Crosse-Eau Claire WI,,100%
91,Columbia SC,,100%
92,Montgomery (Selma) AL,,100%
93,Austin TX,55%,45%
94,Albuquerque-Santa Fe NM,57%,43%
95,Birmingham AL,51%,49%
96,Shreveport LA,,100%
97,Reno NV,42%,58%
98,Omaha NE,,100%
99,Lexington KY,,100%
100,Memphis TN,39%,61%
101,Rochester MN-Mason City IA-Austin MN,,100%
102,Des Moines-Ames IA,,100%
103,Yakima-Pasco-Richland-Kennewick WA,,100%
104,Rochester NY,,100%
105,San Diego CA,56%,44%
106,Portland-Auburn ME,,100%
107,Macon GA,,100%
108,Tulsa OK,,100%
109,New York NY,50%,50%
110,San Francisco-Oakland-San Jose CA,52%,48%
111,Chico-Redding CA,,100%
112,Tallahassee FL-Thomasville GA,,100%
113,Spokane WA,,100%
114,Portland OR,51%,49%
115,Lincoln & Hastings-Kearney NE,,100%
116,Bakersfield CA,,100%
117,Harlingen-Weslaco-Brownsville-McAllen TX,,100%
118,Cheyenne WY-Scottsbluff NE,,
119,Grand Junction-Montrose CO,,
120,Biloxi-Gulfport MS,,
121,Glendive MT,,
122,Casper-Riverton WY,,
123,Alexandria LA,,
124,Peoria-Bloomington IL,,
125,Champaign & Springfield-Decatur IL,,
126,Hattiesburg-Laurel MS,,
127,Elmira NY,,
128,Presque Isle ME,,
129,Savannah GA,,
130,Wilmington NC,,
131,Roanoke-Lynchburg VA,,
132,Wichita-Hutchinson KS,,
133,Corpus Christi TX,,
134,Harrisonburg VA,,
135,Sioux City IA,,
136,Wichita Falls TX & Lawton OK,,
137,Joplin MO-Pittsburg KS,,
138,Eureka CA,,
139,Boise ID,,
140,Traverse City-Cadillac MI,,
141,Columbus GA,,
142,Tucson (Sierra Vista) AZ,,
143,Sherman TX-Ada OK,,
144,Terre Haute IN,,
145,North Platte NE,,
146,Honolulu HI,,
147,Gainesville FL,,
148,Topeka KS,,
149,Lafayette LA,,
150,Idaho Falls-Pocatello ID,,
151,Burlington VT-Plattsburgh NY,,
152,San Angelo TX,,
153,Baton Rouge LA,,
154,Utica NY,,
155,Jonesboro AR,,
156,Rapid City SD,,
157,Lake Charles LA,,
158,Minot-Bismarck-Dickinson(Williston) ND,,
159,Twin Falls ID,,
160,Bowling Green KY,,
161,El Paso TX,,
162,Dothan AL,,
163,Lafayette IN,,
164,Wheeling WV-Steubenville OH,,
165,Parkersburg WV,,
166,Ottumwa IA-Kirksville MO,,
167,Alpena MI,,
168,Duluth MN-Superior WI,,
169,Abilene-Sweetwater TX,,
170,Medford-Klamath Falls OR,,
171,Missoula MT,,
172,Zanesville OH,,
173,"Billings, MT",,
174,Columbia-Jefferson City MO,,
175,Lima OH,,
176,St. Joseph MO,,
177,Bangor ME,,
178,Marquette MI,,
179,Watertown NY,,
180,Mankato MN,,
181,Syracuse NY,,
182,Monroe LA-El Dorado AR,,
183,Yuma AZ-El Centro CA,,
184,Lubbock TX,,
185,Anchorage AK,,
186,Sioux Falls(Mitchell) SD,,
187,Odessa-Midland TX,,
188,Wausau-Rhinelander WI,,
189,Bluefield-Beckley-Oak Hill WV,,
190,Fargo-Valley City ND,,
191,Charlottesville VA,,
192,Albany GA,,
193,Columbus-Tupelo-West Point MS,,
194,Butte-Bozeman MT,,
195,Jackson TN,,
196,Meridian MS,,
197,Amarillo TX,,
198,Eugene OR,,
199,Quincy IL-Hannibal MO-Keokuk IA,,
200,Helena MT,,
201,Great Falls MT,,
202,Clarksburg-Weston WV,,
203,Victoria TX,,
204,Erie PA,,
205,Bend OR,,
206,Laredo TX,,
207,Greenwood-Greenville MS,,
208,Fairbanks AK,,
209,Juneau AK,,
