,date,frequency,search_term,geo_code
287,2015-04-19 00:00:00,20,Cabaret,US-NV-839
288,2015-04-26 00:00:00,21,Cabaret,US-NV-839
289,2015-05-03 00:00:00,61,Cabaret,US-NV-839
290,2015-05-10 00:00:00,31,Cabaret,US-NV-839
291,2015-05-17 00:00:00,20,Cabaret,US-NV-839
292,2015-05-24 00:00:00,20,Cabaret,US-NV-839
293,2015-05-31 00:00:00,0,Cabaret,US-NV-839
294,2015-06-07 00:00:00,40,Cabaret,US-NV-839
295,2015-06-14 00:00:00,20,Cabaret,US-NV-839
296,2015-06-21 00:00:00,18,Cabaret,US-NV-839
297,2015-06-28 00:00:00,17,Cabaret,US-NV-839
298,2015-07-05 00:00:00,17,Cabaret,US-NV-839
299,2015-07-12 00:00:00,33,Cabaret,US-NV-839
300,2015-07-19 00:00:00,41,Cabaret,US-NV-839
301,2015-07-26 00:00:00,17,Cabaret,US-NV-839
302,2015-08-02 00:00:00,16,Cabaret,US-NV-839
303,2015-08-09 00:00:00,24,Cabaret,US-NV-839
304,2015-08-16 00:00:00,16,Cabaret,US-NV-839
305,2015-08-23 00:00:00,16,Cabaret,US-NV-839
306,2015-08-30 00:00:00,16,Cabaret,US-NV-839
307,2015-09-06 00:00:00,16,Cabaret,US-NV-839
308,2015-09-13 00:00:00,23,Cabaret,US-NV-839
309,2015-09-20 00:00:00,30,Cabaret,US-NV-839
310,2015-09-27 00:00:00,31,Cabaret,US-NV-839
311,2015-10-04 00:00:00,31,Cabaret,US-NV-839
312,2015-10-11 00:00:00,15,Cabaret,US-NV-839
313,2015-10-18 00:00:00,23,Cabaret,US-NV-839
314,2015-10-25 00:00:00,16,Cabaret,US-NV-839
315,2015-11-01 00:00:00,27,Cabaret,US-NV-839
316,2015-11-08 00:00:00,19,Cabaret,US-NV-839
317,2015-11-15 00:00:00,0,Cabaret,US-NV-839
318,2015-11-22 00:00:00,17,Cabaret,US-NV-839
319,2015-11-29 00:00:00,16,Cabaret,US-NV-839
320,2015-12-06 00:00:00,14,Cabaret,US-NV-839
321,2015-12-13 00:00:00,30,Cabaret,US-NV-839
322,2015-12-20 00:00:00,17,Cabaret,US-NV-839
323,2015-12-27 00:00:00,26,Cabaret,US-NV-839
324,2016-01-03 00:00:00,20,Cabaret,US-NV-839
325,2016-01-10 00:00:00,19,Cabaret,US-NV-839
326,2016-01-17 00:00:00,33,Cabaret,US-NV-839
327,2016-01-24 00:00:00,14,Cabaret,US-NV-839
328,2016-01-31 00:00:00,22,Cabaret,US-NV-839
329,2016-02-07 00:00:00,49,Cabaret,US-NV-839
330,2016-02-14 00:00:00,35,Cabaret,US-NV-839
331,2016-02-21 00:00:00,29,Cabaret,US-NV-839
332,2016-02-28 00:00:00,36,Cabaret,US-NV-839
333,2016-03-06 00:00:00,21,Cabaret,US-NV-839
334,2016-03-13 00:00:00,57,Cabaret,US-NV-839
335,2016-03-20 00:00:00,30,Cabaret,US-NV-839
336,2016-03-27 00:00:00,14,Cabaret,US-NV-839
337,2016-04-03 00:00:00,21,Cabaret,US-NV-839
338,2016-04-10 00:00:00,14,Cabaret,US-NV-839
339,2016-04-17 00:00:00,42,Cabaret,US-NV-839
340,2016-04-24 00:00:00,35,Cabaret,US-NV-839
341,2016-05-01 00:00:00,21,Cabaret,US-NV-839
342,2016-05-08 00:00:00,28,Cabaret,US-NV-839
343,2016-05-15 00:00:00,43,Cabaret,US-NV-839
344,2016-05-22 00:00:00,44,Cabaret,US-NV-839
345,2016-05-29 00:00:00,22,Cabaret,US-NV-839
346,2016-06-05 00:00:00,51,Cabaret,US-NV-839
347,2016-06-12 00:00:00,100,Cabaret,US-NV-839
348,2016-06-19 00:00:00,64,Cabaret,US-NV-839
349,2016-06-26 00:00:00,50,Cabaret,US-NV-839
350,2016-07-03 00:00:00,29,Cabaret,US-NV-839
351,2016-07-10 00:00:00,22,Cabaret,US-NV-839
352,2016-07-17 00:00:00,14,Cabaret,US-NV-839
353,2014-01-26 00:00:00,33,Cabaret,US-FL-571
354,2014-02-02 00:00:00,0,Cabaret,US-FL-571
355,2014-02-09 00:00:00,0,Cabaret,US-FL-571
356,2014-02-16 00:00:00,0,Cabaret,US-FL-571
357,2014-02-23 00:00:00,0,Cabaret,US-FL-571
358,2014-03-02 00:00:00,32,Cabaret,US-FL-571
359,2014-03-09 00:00:00,32,Cabaret,US-FL-571
360,2014-03-16 00:00:00,0,Cabaret,US-FL-571
361,2014-03-23 00:00:00,31,Cabaret,US-FL-571
362,2014-03-30 00:00:00,33,Cabaret,US-FL-571
363,2014-04-06 00:00:00,34,Cabaret,US-FL-571
364,2014-04-13 00:00:00,67,Cabaret,US-FL-571
365,2014-04-20 00:00:00,0,Cabaret,US-FL-571
366,2014-04-27 00:00:00,0,Cabaret,US-FL-571
367,2014-05-04 00:00:00,0,Cabaret,US-FL-571
368,2014-05-11 00:00:00,0,Cabaret,US-FL-571
369,2014-05-18 00:00:00,43,Cabaret,US-FL-571
370,2014-05-25 00:00:00,0,Cabaret,US-FL-571
371,2014-06-01 00:00:00,0,Cabaret,US-FL-571
372,2014-06-08 00:00:00,71,Cabaret,US-FL-571
373,2014-06-15 00:00:00,0,Cabaret,US-FL-571
374,2014-06-22 00:00:00,47,Cabaret,US-FL-571
375,2014-06-29 00:00:00,49,Cabaret,US-FL-571
376,2014-07-06 00:00:00,47,Cabaret,US-FL-571
377,2014-07-13 00:00:00,0,Cabaret,US-FL-571
378,2014-07-20 00:00:00,0,Cabaret,US-FL-571
379,2014-07-27 00:00:00,0,Cabaret,US-FL-571
380,2014-08-03 00:00:00,0,Cabaret,US-FL-571
381,2014-08-10 00:00:00,0,Cabaret,US-FL-571
382,2014-08-17 00:00:00,46,Cabaret,US-FL-571
383,2014-08-24 00:00:00,0,Cabaret,US-FL-571
384,2014-08-31 00:00:00,0,Cabaret,US-FL-571
385,2014-09-07 00:00:00,0,Cabaret,US-FL-571
386,2014-09-14 00:00:00,0,Cabaret,US-FL-571
387,2014-09-21 00:00:00,0,Cabaret,US-FL-571
388,2014-09-28 00:00:00,0,Cabaret,US-FL-571
389,2014-10-05 00:00:00,0,Cabaret,US-FL-571
390,2014-10-12 00:00:00,44,Cabaret,US-FL-571
391,2014-10-19 00:00:00,43,Cabaret,US-FL-571
392,2014-10-26 00:00:00,0,Cabaret,US-FL-571
393,2014-11-02 00:00:00,0,Cabaret,US-FL-571
394,2014-11-09 00:00:00,0,Cabaret,US-FL-571
395,2014-11-16 00:00:00,0,Cabaret,US-FL-571
396,2014-11-23 00:00:00,0,Cabaret,US-FL-571
397,2014-11-30 00:00:00,43,Cabaret,US-FL-571
398,2014-12-07 00:00:00,46,Cabaret,US-FL-571
399,2014-12-14 00:00:00,0,Cabaret,US-FL-571
400,2014-12-21 00:00:00,0,Cabaret,US-FL-571
401,2014-12-28 00:00:00,0,Cabaret,US-FL-571
402,2015-01-04 00:00:00,41,Cabaret,US-FL-571
403,2015-01-11 00:00:00,41,Cabaret,US-FL-571
404,2015-01-18 00:00:00,41,Cabaret,US-FL-571
405,2015-01-25 00:00:00,60,Cabaret,US-FL-571
406,2015-02-01 00:00:00,0,Cabaret,US-FL-571
407,2015-02-08 00:00:00,0,Cabaret,US-FL-571
408,2015-02-15 00:00:00,38,Cabaret,US-FL-571
409,2015-02-22 00:00:00,0,Cabaret,US-FL-571
410,2015-03-01 00:00:00,0,Cabaret,US-FL-571
411,2015-03-08 00:00:00,0,Cabaret,US-FL-571
412,2015-03-15 00:00:00,0,Cabaret,US-FL-571
413,2015-03-22 00:00:00,0,Cabaret,US-FL-571
414,2015-03-29 00:00:00,0,Cabaret,US-FL-571
415,2015-04-05 00:00:00,0,Cabaret,US-FL-571
416,2015-04-12 00:00:00,0,Cabaret,US-FL-571
417,2015-04-19 00:00:00,0,Cabaret,US-FL-571
418,2015-04-26 00:00:00,0,Cabaret,US-FL-571
419,2015-05-03 00:00:00,0,Cabaret,US-FL-571
420,2015-05-10 00:00:00,0,Cabaret,US-FL-571
421,2015-05-17 00:00:00,47,Cabaret,US-FL-571
422,2015-05-24 00:00:00,49,Cabaret,US-FL-571
423,2015-05-31 00:00:00,0,Cabaret,US-FL-571
424,2015-06-07 00:00:00,0,Cabaret,US-FL-571
425,2015-06-14 00:00:00,0,Cabaret,US-FL-571
426,2015-06-21 00:00:00,0,Cabaret,US-FL-571
427,2015-06-28 00:00:00,0,Cabaret,US-FL-571
428,2015-07-05 00:00:00,0,Cabaret,US-FL-571
429,2015-07-12 00:00:00,0,Cabaret,US-FL-571
430,2015-07-19 00:00:00,0,Cabaret,US-FL-571
431,2015-07-26 00:00:00,0,Cabaret,US-FL-571
432,2015-08-02 00:00:00,48,Cabaret,US-FL-571
433,2015-08-09 00:00:00,0,Cabaret,US-FL-571
434,2015-08-16 00:00:00,48,Cabaret,US-FL-571
435,2015-08-23 00:00:00,45,Cabaret,US-FL-571
436,2015-08-30 00:00:00,0,Cabaret,US-FL-571
437,2015-09-06 00:00:00,0,Cabaret,US-FL-571
438,2015-09-13 00:00:00,0,Cabaret,US-FL-571
439,2015-09-20 00:00:00,0,Cabaret,US-FL-571
440,2015-09-27 00:00:00,0,Cabaret,US-FL-571
441,2015-10-04 00:00:00,87,Cabaret,US-FL-571
442,2015-10-11 00:00:00,43,Cabaret,US-FL-571
443,2015-10-18 00:00:00,0,Cabaret,US-FL-571
444,2015-10-25 00:00:00,42,Cabaret,US-FL-571
445,2015-11-01 00:00:00,0,Cabaret,US-FL-571
446,2015-11-08 00:00:00,0,Cabaret,US-FL-571
447,2015-11-15 00:00:00,0,Cabaret,US-FL-571
448,2015-11-22 00:00:00,43,Cabaret,US-FL-571
449,2015-11-29 00:00:00,0,Cabaret,US-FL-571
450,2015-12-06 00:00:00,39,Cabaret,US-FL-571
451,2015-12-13 00:00:00,0,Cabaret,US-FL-571
452,2015-12-20 00:00:00,0,Cabaret,US-FL-571
453,2015-12-27 00:00:00,81,Cabaret,US-FL-571
